date,type,category,description,amount
2021-08-11,revenue,Service Revenue,  Q1 client invoice  ,13870.66
2023-09-23,revenue,Service Revenue,Retainer fee,6608.53
2023-03-08,revenue,Consulting / Retainers,Online store order,TBD
2024-07-01,revenue,Subscription Income,Retainer fee,N/A
2021-09-13,revenue,Online / Digital Sales,Affiliate payout received,
2022-08-15,expense,Rent / Office Space,Office rent payment,7639.39
2023-10-09,expense,Marketing & Advertising,Monthly payroll,12827.6
2025-02-08,revenue,Online / Digital Sales,Consulting engagement,"$6,351.41"
2020-01-26,Revenue,Subscription Income,Enterprise agreement,8064.66
2024-04-12,revenue,Online / Digital Sales,License renewal,6584.71
2022-06-16,credit,Subscription Income,Annual subscription,1860.28
2024-01-21,expense,Rent / Office Space,Utilities bill,"$10,595.76"
2022-10-19,revenue,Consulting / Retainers,Retainer fee,14741.95
2022-10-19,revenue,Consulting / Retainers,Retainer fee,14741.95
2024-12-04,revenue,Other Revenue,Annual subscription,9198.23
2023-03-09,EXPENSE,Other Expense,Equipment purchase,10326.15
2023-11-10,revenue,Service Revenue,Annual subscription,18618.43
2023-06-19,expense,Software & Subscriptions,Legal retainer fee,8356.5
2021-08-13,revenue,Wholesale Revenue,,4350.27
2023-01-22,EXPENSE,Software & Subscriptions,Equipment purchase,7191.1
2026-02-09,revenue,Online / Digital Sales,Enterprise agreement,21088.28
2021-02-09,revenue,Affiliate / Referral Revenue,Enterprise agreement,20886.87
2017-02-26,expense,Professional Services (Legal/Accounting),AWS hosting bill,398.74
17/06/2020,revenue,Service Revenue,Enterprise agreement,21640.88
2026-05-17,revenue,Consulting / Retainers,Retainer fee,22903.9
2016-02-13,expense,Software & Subscriptions,Conference registration,4483.21
2025-10-23,REVENUE,Subscription Income,Digital download sale,22276.24
2023-06-28,Income,Product Sales,Digital download sale,9412.92
2022-12-10,expense,Other Expense,Accounting services,2872.27
2021-01-07,expense,Cost of Goods Sold (COGS),Google Ads campaign,"$5,541.06"
2022-10-01,revenue,Consulting / Retainers,Referral commission,12710.14
2023-10-23,revenue,Consulting / Retainers,Wholesale shipment,11328.36
2024-09-21,revenue,Consulting / Retainers,  License renewal  ,8771.85
2021-07-03,revenue,Product Sales,Consulting engagement,12638.48
2024-07-13,revenue,Subscription Income,Wholesale shipment,11842.9
2021-04-03,revenue,Other Revenue,Q1 client invoice,12166.19
2024-05-10,revenue,Wholesale Revenue,License renewal,4549.72
2024-12-19,expense,Salaries & Wages,Conference registration,6001.38
2023-02-07,revenue,Consulting / Retainers,Product bundle sale,23449.2
2024-07-30,revenue,Product Sales,Q1 client invoice,14004.69
2023-07-13,revenue,Service Revenue,Consulting engagement,22215.41
2024-11-03,EXPENSE,Software & Subscriptions,Google Ads campaign,13654.26
2026-12-06,expense,Professional Services (Legal/Accounting),Software license renewal,4025.33
2025-08-04,revenue,Service Revenue,Wholesale shipment,-4934.08
2021-03-31,expense,Cost of Goods Sold (COGS),,7543.4
2023-05-19,revenue,Consulting / Retainers,Monthly subscription charge,9945.21
2021-11-27,revenue,Subscription Income,Service contract payment,3787.57
2021-10-05,revenue,Other Revenue,Annual subscription,20663.95
2026-09-07,expense,Professional Services (Legal/Accounting),Google Ads campaign,5166.83
2024-07-09,EXPENSE,Consulting / Retainers,Enterprise agreement,5564.76
2020-01-16,revenue,Other,Project milestone payment,15414.74
2021-05-18,expense,Marketing & Advertising,Contractor payment,(14439.54)
2025-01-19,expense,Other Expense,Office supplies,5374.58
02/10/2024,revenue,Subscription Income,License renewal,16835.66
2023-06-16,expense,Cost of Goods Sold (COGS),Contractor payment,11515.97
2021-04-06,revenue,Consulting / Retainers,Annual subscription,13710.33
2020-07-01,expense,Marketing & Advertising,Travel & lodging,9212.88
2022-10-15,revenue,Wholesale Revenue,Enterprise agreement,15945.75
2022-04-02,EXPENSE,Cost of Goods Sold (COGS),Office supplies,1226.78
2020-01-05,revenue,Wholesale Revenue,Referral commission,13958.07
2023-07-15,revenue,,Enterprise agreement,6264.21
2022-04-14,expense,Rent / Office Space,Insurance premium,"$14,128.62"
2022-12-11,revenue,Other Revenue,Retainer fee,-6673.82
2025-07-10,expense,Rent / Office Space,Office supplies,6098.95
04/08/2022,expense,Rent / Office Space,Accounting services,8685.29
2020-09-01,revenue,Consulting / Retainers,Annual subscription,16927.4
2027-03-12,revenue,Wholesale Revenue,Q1 client invoice,22796.0
"Aug 06, 2024",revenue,Service Revenue,Project milestone payment,19169.99
2023-12-17,revenue,Online / Digital Sales,License renewal,19528.23
2023-12-18,revenue,Affiliate / Referral Revenue,Project milestone payment,9824.96
2020-11-13,revenue,Wholesale Revenue,Product bundle sale,18452.75
2022-03-24,revenue,Product Sales,Digital download sale,6033.13
14/04/2025,expense,Rent / Office Space,Printing & postage,3411.46
2023-09-07,expense,Rent / Office Space,Software license renewal,2279.74
2020-06-13,expense,Marketing & Advertising,AWS hosting bill,TBD
2021-11-02,expense,Software & Subscriptions,Monthly payroll,-10323.84
2021-11-06,expense,Salaries & Wages,Office supplies,5511.12
2021-06-30,credit,Online / Digital Sales,Retainer fee,15821.71
2023-01-26,expense,Software & Subscriptions,Travel & lodging,5244.91
2023-06-14,expense,Software & Subscriptions,Conference registration,12863.95
2023-04-17,expense,Cost of Goods Sold (COGS),Conference registration,"$3,017.48"
2025-05-13,revenue,Product Sales,Annual subscription,10730.64
2022-05-08,Exp,Professional Services (Legal/Accounting),Software license renewal,2608.73
2023-06-07,revenue,Other Revenue,Digital download sale,5121.62
2022-05-05,expense,Salaries & Wages,Travel & lodging,1644.66
01/04/2022,revenue,Service Revenue,Online store order,15026.62
2022-03-28,revenue,Wholesale Revenue,Online store order,14190.39
2024-02-08,expense,Other Expense,Accounting services,-11420.53
2026-08-05,revenue,Wholesale Revenue,Consulting engagement,16603.96
2025-01-11,expense,Software & Subscriptions,Utilities bill,"$4,292.34"
2020-03-09,revenue,Software,Project milestone payment,8145.99
2027-05-17,revenue,Service Revenue,Service contract payment,17879.06
2023-09-15,expense,Rent / Office Space,Office supplies,5359.96
2025-12-15,other,Software & Subscriptions,AWS hosting bill,1461.87
2021-08-22,Rev,Marketing & Advertising,Conference registration,10458.38
2016-02-16,expense,Marketing & Advertising,Printing & postage,9745.21
2024-05-22,expense,Software & Subscriptions,AWS hosting bill,3674.36
2022-07-19,other,Product Sales,Project milestone payment,8518.46
2022-06-16,revenue,Wholesale Revenue,Service contract payment,13742.17
2022-05-27,expense,,Monthly payroll,5140.11
2025-07-19,revenue,Consulting / Retainers,Service contract payment,1508.34
2022-02-18,revenue,Product Sales,Service contract payment,3793.77
2023-01-28,revenue,Affiliate / Referral Revenue,Monthly subscription charge,-17068.45
2025-03-27,expense,Software & Subscriptions,Office supplies,"$2,125.19"
2021-12-07,credit,Subscription Income,Q1 client invoice,15452.62
2021-11-03,revenue,Other Revenue,Retainer fee,23216.79
2025-02-08,expense,Software & Subscriptions,,6379.03
2027-02-22,expense,Software & Subscriptions,Utilities bill,13749.93
2024-06-07,revenue,Wholesale Revenue,Referral commission,6112.61
2020-10-28,revenue,Affiliate / Referral Revenue,Enterprise agreement,17558.91
2024-09-01,expense,Professional Services (Legal/Accounting),Utilities bill,13792.91
2025-05-13,revenue,Online / Digital Sales,Product bundle sale,5042.88
2025-06-30,revenue,Subscription,Referral commission,14181.7
2023-02-09,expense,Rent / Office Space,Travel & lodging,9423.33
2022-07-04,expense,Professional Services (Legal/Accounting),Accounting services,12516.87
2022-01-13,revenue,Service Revenue,Retainer fee,9371.6
2021-12-17,expense,Cost of Goods Sold (COGS),Utilities bill,3802.97
2022-11-12,expense,Professional Services (Legal/Accounting),Travel & lodging,3322.23
2022-08-12,expense,Marketing & Advertising,Printing & postage,2288.92
2025-02-26,revenue,Product Sales,Service contract payment,2205.19
2025-07-10,expense,Professional Services (Legal/Accounting),Utilities bill,6410.43
2020-03-05,revenue,Other Revenue,Enterprise agreement,19881.3
2024-06-03,revenue,Service Revenue,Consulting engagement,17918.76
2023-08-04,revenue,Subscription Income,Monthly subscription charge,3996.89
2021-10-23,revenue,,Online store order,5642.58
2020-06-20,EXPENSE,Professional Services (Legal/Accounting),Software license renewal,12597.95
2024-12-24,expense,Other Expense,Utilities bill,1979.23
2021-07-06,revenue,Consulting / Retainers,Q1 client invoice,18070.16
2024-04-16,expense,Salaries & Wages,Office rent payment,1871.52
2020-09-08,expense,Cost of Goods Sold (COGS),Software license renewal,14954.54
2020-07-10,revenue,Subscription Income,Consulting engagement,24617.15
2025-12-11,expense,Marketing & Advertising,Legal retainer fee,-13980.89
2026-01-18,expense,Other Expense,Printing & postage,1107.75
2025-05-17,Costs,Product Sales,Annual subscription,21725.88
2021-11-13,revenue,Subscription Income,Retainer fee,"$5,074.87"
2023-02-13,revenue,Service,Referral commission,22168.73
2015-06-01,revenue,Other Revenue,Affiliate payout received,9063.12
2024-08-02,revenue,Other,Annual subscription,15167.07
2023-09-14,revenue,Other Revenue,Digital download sale,18505.03
2022-06-25,revenue,Other Revenue,Retainer fee,21243.52
2025-06-03,Exp,Cost of Goods Sold (COGS),Office rent payment,9527.39
2021-10-07,expense,Marketing & Advertising,Insurance premium,9076.3
2025-08-05,expense,Professional Services (Legal/Accounting),Google Ads campaign,12597.16
2021-10-16,revenue,Online / Digital Sales,Digital download sale,3933.27
2023-03-03,revenue,Service Revenue,Project milestone payment,
2015-06-26,expense,Other Expense,Office rent payment,11746.78
2025-10-31,expense,Cost of Goods Sold (COGS),Equipment purchase,47.76
2022-12-26,credit,Affiliate / Referral Revenue,Annual subscription,14052.15
2027-05-11,expense,Other Expense,Google Ads campaign,463.54
2027-05-11,expense,Other Expense,Google Ads campaign,463.54
2021-05-15,Income,Professional Services (Legal/Accounting),Conference registration,6079.17
2025-03-13,revenue,Service Revenue,Q1 client invoice,4762.55
2025-01-01,revenue,Online / Digital Sales,Referral commission,8753.25
2024-08-16,revenue,Wholesale Revenue,Monthly subscription charge,24225.7
2023-04-19,revenue,Service Revenue,Affiliate payout received,
2021-12-06,revenue,Service Revenue,Product bundle sale,"$5,745.59"
2021-12-06,revenue,Service Revenue,Product bundle sale,"$5,745.59"
2025-09-13,revenue,Online / Digital Sales,Wholesale shipment,(18581.74)
2020-06-25,expense,Rent / Office Space,Travel & lodging,1501.56
2020-06-25,expense,Rent / Office Space,Travel & lodging,1501.56
2020-07-24,expense,Cost of Goods Sold (COGS),Equipment purchase,3848.19
2021-06-14,expense,Software & Subscriptions,Office rent payment,6438.98
2021-08-26,expense,Cost of Goods Sold (COGS),Google Ads campaign,(14751.98)
2021-06-11,revenue,Subscription Income,License renewal,24124.08
2023-07-26,expense,Rent / Office Space,Printing & postage,9340.92
2024-08-16,credit,Service Revenue,Q1 client invoice,1481.0
2024-05-09,expense,cost of goods,Insurance premium,174.25
2023-04-16,expense,Cost of Goods Sold (COGS),Office rent payment,7666.71
2020-06-01,revenue,Subscription Income,Service contract payment,-607.94
2025-11-03,revenue,Affiliate / Referral Revenue,  Annual subscription  ,13712.58
2022-07-04,revenue,Product Sales,Annual subscription,18033.36
2023-05-28,revenue,Product Sales,Project milestone payment,2045.99
2022-02-20,REVENUE,Other Revenue,Affiliate payout received,12526.31
2021-12-07,expense,Cost of Goods Sold (COGS),Travel & lodging,13012.69
2020-11-20,expense,Rent / Office Space,Legal retainer fee,14269.46
2027-07-16,revenue,Product Sales,Annual subscription,17408.61
2026-10-24,expense,Marketing & Advertising,AWS hosting bill,10245.33
2024-04-13,revenue,Subscription Income,Enterprise agreement,7360.63
2023-01-24,expense,Professional Services (Legal/Accounting),Travel & lodging,7178.74
2020-01-08,expense,Rent / Office Space,,2823.18
2024-11-19,expense,Other Expense,Office rent payment,1409.16
2026-08-14,revenue,Service Revenue,Monthly subscription charge,24901.6
2024-11-06,expense,Cost of Goods Sold (COGS),Contractor payment,3656.04
2022-03-30,expense,Software,Accounting services,10544.97
2022-05-17,revenue,Affiliate / Referral Revenue,Q1 client invoice,9293.6
2024-10-22,revenue,,Digital download sale,19855.29
2022-11-08,Exp,Wholesale Revenue,Q1 client invoice,2632.93
2024-09-27,expense,Salaries & Wages,Equipment purchase,9034.86
2021-10-15,revenue,Service Revenue,License renewal,15297.62
2025-07-18,Exp,Wholesale Revenue,Retainer fee,3673.93
2025-07-18,Exp,Wholesale Revenue,Retainer fee,3673.93
2023-01-01,expense,Salaries & Wages,Conference registration,10686.69
2023-02-04,expense,Marketing & Advertising,Insurance premium,14012.98
2021-01-16,revenue,Online / Digital Sales,Service contract payment,(7837.18)
2023-10-19,expense,Rent / Office Space,Office supplies,"$9,779.54"
2026-06-19,expense,Professional Services (Legal/Accounting),Utilities bill,10979.99
2020-10-22,revenue,Product Sales,Affiliate payout received,-19044.31
2022-11-01,expense,Professional Services (Legal/Accounting),Software license renewal,12423.16
2021-06-18,expense,Rent / Office Space,AWS hosting bill,13290.86
2023-03-24,EXPENSE,Professional Services (Legal/Accounting),Software license renewal,8568.39
2024-08-30,expense,Rent / Office Space,Google Ads campaign,12287.42
2024-11-20,expense,Cost of Goods Sold (COGS),Conference registration,-9794.1
2020-05-05,revenue,Affiliate / Referral Revenue,Monthly subscription charge,-19595.22
07/21/2024,expense,Other Expense,Utilities bill,14000.29
2021-04-07,expense,Cost of Goods Sold (COGS),Software license renewal,"$10,611.06"
2022-10-07,expense,Other Expense,Insurance premium,(9284.11)
2017-11-18,revenue,Service Revenue,Enterprise agreement,21301.79
2023-06-26,expense,Salaries & Wages,Insurance premium,
2023-11-13,expense,Professional Services (Legal/Accounting),Monthly payroll,"$12,758.84"
2021-12-15,revenue,Wholesale Revenue,Monthly subscription charge,12926.93
2020-03-05,revenue,Product Sales,Project milestone payment,10934.48
2016-08-08,expense,Salaries & Wages,Google Ads campaign,10795.78
2020-07-09,revenue,Online / Digital Sales,Q1 client invoice,15981.43
2022-11-03,revenue,Other Revenue,Referral commission,7857.02
2020-01-04,expense,Software & Subscriptions,Office supplies,7304.18
2022-05-27,expense,Professional Services (Legal/Accounting),Printing & postage,10390.59
2020/09/17,expense,Cost of Goods Sold (COGS),Utilities bill,4822.52
2025-07-01,expense,Salaries & Wages,Google Ads campaign,4890.97
2024-01-23,revenue,Service Revenue,Annual subscription,4539.31
2023-09-12,expense,Marketing & Advertising,Insurance premium,13093.26
2020-11-04,revenue,Affiliate / Referral Revenue,Wholesale shipment,14562.36
2021-06-16,revenue,Consulting / Retainers,Affiliate payout received,17138.84
2022-05-24,expense,Software & Subscriptions,Office rent payment,-13035.35
2021-01-08,revenue,Wholesale Revenue,Q1 client invoice,15329.84
2020-07-29,revenue,Affiliate / Referral Revenue,Enterprise agreement,1077.34
2020-07-29,revenue,Affiliate / Referral Revenue,Enterprise agreement,1077.34
2021-01-24,expense,marketing,Software license renewal,11781.77
2023-09-20,expense,Rent / Office Space,Legal retainer fee,3914.15
2020-05-06,revenue,Affiliate / Referral Revenue,Consulting engagement,10532.4
2024-11-14,expense,Rent / Office Space,,4898.27
2021/09/06,revenue,Affiliate / Referral Revenue,Wholesale shipment,16165.17
2020-02-17,EXPENSE,Software & Subscriptions,Printing & postage,3768.46
2025-01-26,revenue,Consulting / Retainers,Service contract payment,17962.72
2021-08-13,expense,COGS,Software license renewal,7801.27
2020-06-23,revenue,Product Sales,License renewal,3644.88
2024-07-27,expense,Marketing & Advertising,,13670.33
2025-11-03,revenue,Product Sales,Project milestone payment,9660.81
2026-11-30,expense,Salaries & Wages,Conference registration,1916.34
2024-03-27,EXPENSE,Marketing & Advertising,Office supplies,6304.52
2017-01-24,revenue,Consulting / Retainers,Monthly subscription charge,23059.15
2021-10-26,Income,Rent / Office Space,Equipment purchase,3787.94
2021-11-15,revenue,Service Revenue,Project milestone payment,12354.68
2020-11-09,revenue,Wholesale Revenue,Project milestone payment,7531.88
2020-02-05,revenue,Other Revenue,Monthly subscription charge,17533.24
2021-04-12,revenue,Affiliate / Referral Revenue,Product bundle sale,9147.7
2023-03-23,expense,Marketing & Advertising,,9221.01
2022-08-05,expense,Cost of Goods Sold (COGS),Google Ads campaign,11255.2
2020-03-07,expense,Marketing & Advertising,Conference registration,182.16
13/02/2022,expense,Professional Services (Legal/Accounting),Utilities bill,8835.2
2023-09-24,revenue,Service Revenue,License renewal,15964.04
2025-07-14,revenue,Affiliate / Referral Revenue,Service contract payment,"$9,588.80"
2020-09-03,revenue,Product Sales,Referral commission,4086.91
2023-12-31,expense,Other Expense,Google Ads campaign,13514.79
2022-05-08,revenue,,Retainer fee,4516.32
2021-03-04,revenue,Online / Digital Sales,License renewal,6909.84
2020-08-18,revenue,Service Revenue,Wholesale shipment,TBD
2021-03-01,REVENUE,Product Sales,License renewal,4852.32
15/05/2025,revenue,Subscription Income,Project milestone payment,19786.48
2022-07-22,expense,Professional Services (Legal/Accounting),Travel & lodging,TBD
2024-08-12,revenue,Consulting / Retainers,License renewal,4074.31
2025-10-28,expense,Cost of Goods Sold (COGS),Printing & postage,3315.56
2021-01-23,expense,Other Expense,Printing & postage,12359.72
2021-08-05,revenue,Affiliate / Referral Revenue,Wholesale shipment,(3707.40)
2027-01-11,revenue,Wholesale Revenue,Annual subscription,24051.13
2024-03-08,revenue,Product Sales,Enterprise agreement,-3360.93
2025-06-12,revenue,salaries,Retainer fee,15038.55
2024-01-15,revenue,Affiliate / Referral Revenue,Wholesale shipment,10632.38
2020-02-07,credit,Software & Subscriptions,Office supplies,8230.98
2022-03-12,revenue,Consulting / Retainers,Q1 client invoice,15673.11
2017-05-19,revenue,Other Revenue,Retainer fee,9938.09
2025-07-28,expense,Rent / Office Space,Accounting services,N/A
2022-08-23,expense,advertising,Monthly payroll,1708.32
2021-01-01,revenue,Product Sales,Monthly subscription charge,9120.0
2015-04-13,revenue,Service Revenue,Monthly subscription charge,21637.37
2024/02/14,revenue,Consulting / Retainers,Referral commission,5636.8
2025-01-18,revenue,Subscription Income,Enterprise agreement,5193.49
2022-06-21,revenue,Other Revenue,,22732.05
2023-09-17,expense,rent,AWS hosting bill,11348.0
2020-12-16,revenue,Online / Digital Sales,Service contract payment,12397.92
2021-12-23,REVENUE,Wholesale Revenue,Project milestone payment,21451.78
2024-10-06,revenue,Product Sales,Product bundle sale,5497.05
2022-01-10,expense,Cost of Goods Sold (COGS),AWS hosting bill,4571.54
2025-12-09,revenue,Other,Wholesale shipment,13380.77
27/09/2020,revenue,Consulting / Retainers,Consulting engagement,15511.57
2025/06/22,expense,Rent / Office Space,Utilities bill,10152.11
2023-12-25,expense,Cost of Goods Sold (COGS),Google Ads campaign,1556.35
2020-08-07,revenue,Wholesale Revenue,Referral commission,19054.93
2025-06-17,revenue,Consulting / Retainers,Monthly subscription charge,N/A
2025-05-09,revenue,Consulting / Retainers,Online store order,21687.89
2024-12-16,expense,Salaries & Wages,Office rent payment,6076.67
2023-02-01,REVENUE,Other Revenue,Project milestone payment,1903.93
2026-02-15,revenue,Subscription Income,Project milestone payment,2401.24
2022-09-23,expense,Other Expense,Conference registration,2213.31
2022-04-03,expense,Salaries & Wages,Legal retainer fee,9008.53
2024-02-08,revenue,Consulting / Retainers,Q1 client invoice,"$20,277.66"
2024-07-21,EXPENSE,Marketing & Advertising,Equipment purchase,13600.71
"Mar 09, 2023",expense,Other Expense,Printing & postage,2552.18
2023-02-10,expense,Rent / Office Space,Accounting services,14448.74
2023-04-24,expense,Marketing & Advertising,  Office supplies  ,12637.97
2025-08-25,expense,Cost of Goods Sold (COGS),Office rent payment,9043.85
28/09/2024,revenue,Affiliate / Referral Revenue,Service contract payment,19951.5
2023-11-20,expense,Marketing & Advertising,Contractor payment,6164.08
2025-06-21,expense,Salaries & Wages,Office rent payment,9001.11
12/16/2024,expense,Rent / Office Space,Printing & postage,9105.09
2024-02-22,revenue,,Q1 client invoice,7741.86
2023-02-12,EXPENSE,Salaries & Wages,Google Ads campaign,4963.48
2024-11-27,debit,Subscription Income,Service contract payment,23352.84
2023-12-07,expense,Salaries & Wages,Monthly payroll,-14939.76
2027-05-24,revenue,Subscription Income,Referral commission,2779.62
2023-06-24,revenue,Consulting / Retainers,Consulting engagement,"$18,008.58"
2022-06-27,expense,Other Expense,Printing & postage,11199.16
2022-06-27,expense,Other Expense,Printing & postage,11199.16
2025-06-03,revenue,Service Revenue,Online store order,8525.56
2020-03-05,revenue,Product Sales,Annual subscription,24826.32
2024-08-24,revenue,Subscription Income,Annual subscription,2249.11
2022-11-22,revenue,Other Revenue,Referral commission,6104.79
2022-10-24,credit,Affiliate / Referral Revenue,Annual subscription,6430.57
2022-04-30,expense,Salaries & Wages,Conference registration,10187.37
2026-05-01,expense,Software & Subscriptions,AWS hosting bill,5125.95
2022-08-03,revenue,salaries,Referral commission,18564.83
2024-12-12,revenue,Affiliate / Referral Revenue,Wholesale shipment,-22303.36
2020-10-30,expense,Other Expense,Accounting services,N/A
2020-06-24,revenue,Affiliate / Referral Revenue,Wholesale shipment,16127.1
2020-10-19,expense,Cost of Goods Sold (COGS),Google Ads campaign,N/A
2022-12-10,revenue,Subscription Income,Monthly subscription charge,
2015-06-30,expense,Software & Subscriptions,Google Ads campaign,8472.2
2025-04-18,revenue,Other Revenue,Product bundle sale,13263.2
2020-10-12,revenue,Service Revenue,Referral commission,2411.04
2020-04-09,revenue,Wholesale Revenue,Affiliate payout received,"$24,586.30"
2021-02-14,expense,Other Expense,Office rent payment,(810.93)
2026-05-13,revenue,Subscription Income,Annual subscription,13191.02
2015-06-15,revenue,Service Revenue,Q1 client invoice,13701.34
2025-06-19,revenue,Other Revenue,Project milestone payment,$627.56
2025-07-29,revenue,Subscription Income,Referral commission,11739.83
2023-02-28,revenue,Other Revenue,Project milestone payment,TBD
2027-02-15,expense,Software & Subscriptions,Monthly payroll,8174.11
2020-05-21,Income,Service Revenue,Referral commission,2665.88
2019-01-20,revenue,Other Revenue,Project milestone payment,19821.45
2024-10-08,revenue,Subscription Income,,19026.09
2023-03-19,revenue,advertising,License renewal,21402.01
2025-03-11,Revenue,Online / Digital Sales,Retainer fee,17360.88
2025-04-19,revenue,Service Revenue,Wholesale shipment,22350.3
2020-06-17,expense,Rent / Office Space,Legal retainer fee,9999.35
2023-09-23,expense,Other Expense,Legal retainer fee,(12688.29)
2020-03-18,revenue,Online / Digital Sales,Product bundle sale,5402.31
2027-04-10,revenue,Service Revenue,Annual subscription,21990.71
2025-10-18,other,Marketing & Advertising,Accounting services,13139.44
2019-01-26,expense,Software & Subscriptions,Software license renewal,7928.66
2023-10-08,revenue,Other Revenue,Retainer fee,21358.24
2023-11-07,expense,Professional Services (Legal/Accounting),Accounting services,14592.91
2023-01-07,expense,Software & Subscriptions,Conference registration,-13789.8
2022-04-18,revenue,Product Sales,Digital download sale,TBD
2024-04-29,revenue,Other Revenue,Online store order,1740.41
2025-09-18,EXPENSE,Salaries & Wages,Office supplies,3267.62
2020-08-06,REVENUE,Consulting / Retainers,Monthly subscription charge,4425.54
2023-02-09,revenue,Affiliate / Referral Revenue,Product bundle sale,16338.34
2023-01-23,expense,Rent / Office Space,Google Ads campaign,3581.65
2024-11-03,expense,Rent / Office Space,Contractor payment,8584.48
2016-06-29,revenue,Other Revenue,Retainer fee,11006.43
2025-06-23,revenue,Service Revenue,License renewal,"$1,834.27"
2021-08-13,revenue,Consulting / Retainers,  Q1 client invoice  ,9859.87
2021-09-01,revenue,Consulting / Retainers,Annual subscription,1901.08
2022-03-11,Rev,Salaries & Wages,Travel & lodging,6456.18
2022-07-28,other,Cost of Goods Sold (COGS),Software license renewal,4429.93
2024-12-17,expense,Rent / Office Space,AWS hosting bill,7222.95
2025-09-04,expense,,Travel & lodging,3491.57
2027-08-13,expense,Cost of Goods Sold (COGS),Monthly payroll,1168.17
2022-10-25,expense,Professional Services (Legal/Accounting),Office supplies,(9432.39)
2025-01-27,revenue,Online / Digital Sales,Referral commission,21713.57
2025-05-14,revenue,Subscription Income,Service contract payment,5499.54
2024-01-27,expense,Other Expense,Monthly payroll,5551.69
2022-11-16,expense,Professional Services (Legal/Accounting),Insurance premium,6445.25
2025-10-04,expense,Software & Subscriptions,Accounting services,TBD
2023-02-21,expense,Rent / Office Space,Legal retainer fee,7366.85
2024-02-14,expense,Professional Services (Legal/Accounting),Software license renewal,14297.2
2023-12-24,expense,Salaries & Wages,Equipment purchase,5513.07
2022-07-29,revenue,Online / Digital Sales,Digital download sale,16225.14
2022-10-18,revenue,Service Revenue,Q1 client invoice,11473.17
2024-04-18,revenue,Affiliate / Referral Revenue,Retainer fee,N/A
2024-05-20,revenue,Consulting / Retainers,Product bundle sale,20838.79
2020-04-12,revenue,Affiliate / Referral Revenue,Enterprise agreement,1282.66
2020-12-01,expense,Rent / Office Space,AWS hosting bill,14591.75
2025-03-24,expense,Salaries & Wages,Conference registration,-13493.7
2015-11-08,expense,Professional Services (Legal/Accounting),Monthly payroll,9659.42
