date,type,category,description,amount
2025-01-01,revenue,Product Sales,penny-39,0.01
2025-01-01,revenue,Product Sales,penny-40,0.01
2025-01-01,revenue,Product Sales,penny-41,0.01
2025-01-01,revenue,Product Sales,penny-42,0.01
2025-01-01,revenue,Product Sales,penny-43,0.01
2025-01-01,revenue,Product Sales,penny-44,0.01
2025-01-01,revenue,Product Sales,penny-45,0.01
2025-01-01,revenue,Product Sales,penny-46,0.01
2025-01-01,revenue,Product Sales,penny-47,0.01
2025-01-01,revenue,Product Sales,penny-48,0.01
2025-01-01,revenue,Product Sales,penny-49,0.01
2025-01-01,revenue,Product Sales,penny-50,0.01
2025-01-01,revenue,Product Sales,penny-51,0.01
2025-01-01,revenue,Product Sales,penny-52,0.01
2025-01-01,revenue,Product Sales,penny-53,0.01
2025-01-01,revenue,Product Sales,penny-54,0.01
2025-01-01,revenue,Product Sales,penny-55,0.01
2025-01-01,revenue,Product Sales,penny-56,0.01
2025-01-01,revenue,Product Sales,penny-57,0.01
2025-01-01,revenue,Product Sales,penny-58,0.01
2025-01-01,revenue,Product Sales,penny-59,0.01
2025-01-01,revenue,Product Sales,penny-60,0.01
2025-01-01,revenue,Product Sales,penny-61,0.01
2025-01-01,revenue,Product Sales,penny-62,0.01
2025-01-01,revenue,Product Sales,penny-63,0.01
2025-01-01,revenue,Product Sales,penny-64,0.01
2025-01-01,revenue,Product Sales,penny-65,0.01
2025-01-01,revenue,Product Sales,penny-66,0.01
2025-01-01,revenue,Product Sales,penny-67,0.01
2025-01-01,revenue,Product Sales,penny-68,0.01
2025-01-01,revenue,Product Sales,penny-69,0.01
2025-01-01,revenue,Product Sales,penny-70,0.01
2025-01-01,revenue,Product Sales,penny-71,0.01
2025-01-01,revenue,Product Sales,penny-72,0.01
2025-01-01,revenue,Product Sales,penny-73,0.01
2025-01-01,revenue,Product Sales,penny-74,0.01
2025-01-01,revenue,Product Sales,penny-75,0.01
2025-01-01,revenue,Product Sales,penny-76,0.01
2025-01-01,revenue,Product Sales,penny-77,0.01
2025-01-01,revenue,Product Sales,penny-78,0.01
2025-01-01,revenue,Product Sales,penny-79,0.01
2025-01-01,revenue,Product Sales,penny-80,0.01
2025-01-01,revenue,Product Sales,penny-81,0.01
2025-01-01,revenue,Product Sales,penny-82,0.01
2025-01-01,revenue,Product Sales,penny-83,0.01
2025-01-01,revenue,Product Sales,penny-84,0.01
2025-01-01,revenue,Product Sales,penny-85,0.01
2025-01-01,revenue,Product Sales,penny-86,0.01
2025-01-01,revenue,Product Sales,penny-87,0.01
2025-01-01,revenue,Product Sales,penny-88,0.01
2025-01-01,revenue,Product Sales,penny-89,0.01
2025-01-01,revenue,Product Sales,penny-90,0.01
2025-01-01,revenue,Product Sales,penny-91,0.01
2025-01-01,revenue,Product Sales,penny-92,0.01
2025-01-01,revenue,Product Sales,penny-93,0.01
2025-01-01,revenue,Product Sales,penny-94,0.01
2025-01-01,revenue,Product Sales,penny-95,0.01
2025-01-01,revenue,Product Sales,penny-96,0.01
2025-01-01,revenue,Product Sales,penny-97,0.01
2025-01-01,revenue,Product Sales,penny-98,0.01
2025-01-01,revenue,Product Sales,penny-99,0.01
2025-01-01,revenue,Product Sales,penny-100,0.01
2025-01-01,revenue,Product Sales,penny-101,0.01
2025-01-01,revenue,Product Sales,penny-102,0.01
2025-01-01,revenue,Product Sales,penny-103,0.01
2025-01-01,revenue,Product Sales,penny-104,0.01
2025-01-01,revenue,Product Sales,penny-105,0.01
2025-01-01,revenue,Product Sales,penny-106,0.01
2025-01-01,revenue,Product Sales,penny-107,0.01
2025-01-01,revenue,Product Sales,penny-108,0.01
2025-01-01,revenue,Product Sales,penny-109,0.01
2025-01-01,revenue,Product Sales,penny-110,0.01
2025-01-01,revenue,Product Sales,penny-111,0.01
2025-01-01,revenue,Product Sales,penny-112,0.01
2025-01-01,revenue,Product Sales,penny-113,0.01
2025-01-01,revenue,Product Sales,penny-114,0.01
2025-01-01,revenue,Product Sales,penny-115,0.01
2025-01-01,revenue,Product Sales,penny-116,0.01
2025-01-01,revenue,Product Sales,penny-117,0.01
2025-01-01,revenue,Product Sales,penny-118,0.01
2025-01-01,revenue,Product Sales,penny-119,0.01
2025-01-01,revenue,Product Sales,penny-120,0.01
2025-01-01,revenue,Product Sales,penny-121,0.01
2025-01-01,revenue,Product Sales,penny-122,0.01
2025-01-01,revenue,Product Sales,penny-123,0.01
2025-01-01,revenue,Product Sales,penny-124,0.01
2025-01-01,revenue,Product Sales,penny-125,0.01
2025-01-01,revenue,Product Sales,penny-126,0.01
2025-01-01,revenue,Product Sales,penny-127,0.01
2025-01-01,revenue,Product Sales,penny-128,0.01
2025-01-01,revenue,Product Sales,penny-129,0.01
2025-01-01,revenue,Product Sales,penny-130,0.01
2025-01-01,revenue,Product Sales,penny-131,0.01
2025-01-01,revenue,Product Sales,penny-132,0.01
2025-01-01,revenue,Product Sales,penny-133,0.01
2025-01-01,revenue,Product Sales,penny-134,0.01
2025-01-01,revenue,Product Sales,penny-135,0.01
2025-01-01,revenue,Product Sales,penny-136,0.01
2025-01-01,revenue,Product Sales,penny-137,0.01
2025-01-01,revenue,Product Sales,penny-138,0.01
2025-01-01,revenue,Product Sales,penny-139,0.01
2025-01-01,revenue,Product Sales,penny-140,0.01
2025-01-01,revenue,Product Sales,penny-141,0.01
2025-01-01,revenue,Product Sales,penny-142,0.01
2025-01-01,revenue,Product Sales,penny-143,0.01
2025-01-01,revenue,Product Sales,penny-144,0.01
2025-01-01,revenue,Product Sales,penny-145,0.01
2025-01-01,revenue,Product Sales,penny-146,0.01
2025-01-01,revenue,Product Sales,penny-147,0.01
2025-01-01,revenue,Product Sales,penny-148,0.01
2025-01-01,revenue,Product Sales,penny-149,0.01
2025-01-01,revenue,Product Sales,penny-150,0.01
2025-01-01,revenue,Product Sales,penny-151,0.01
2025-01-01,revenue,Product Sales,penny-152,0.01
2025-01-01,revenue,Product Sales,penny-153,0.01
2025-01-01,revenue,Product Sales,penny-154,0.01
2025-01-01,revenue,Product Sales,penny-155,0.01
2025-01-01,revenue,Product Sales,penny-156,0.01
2025-01-01,revenue,Product Sales,penny-157,0.01
2025-01-01,revenue,Product Sales,penny-158,0.01
2025-01-01,revenue,Product Sales,penny-159,0.01
2025-01-01,revenue,Product Sales,penny-160,0.01
2025-01-01,revenue,Product Sales,penny-161,0.01
2025-01-01,revenue,Product Sales,penny-162,0.01
2025-01-01,revenue,Product Sales,penny-163,0.01
2025-01-01,revenue,Product Sales,penny-164,0.01
2025-01-01,revenue,Product Sales,penny-165,0.01
2025-01-01,revenue,Product Sales,penny-166,0.01
2025-01-01,revenue,Product Sales,penny-167,0.01
2025-01-01,revenue,Product Sales,penny-168,0.01
2025-01-01,revenue,Product Sales,penny-169,0.01
2025-01-01,revenue,Product Sales,penny-170,0.01
2025-01-01,revenue,Product Sales,penny-171,0.01
2025-01-01,revenue,Product Sales,penny-172,0.01
2025-01-01,revenue,Product Sales,penny-173,0.01
2025-01-01,revenue,Product Sales,penny-174,0.01
2025-01-01,revenue,Product Sales,penny-175,0.01
2025-01-01,revenue,Product Sales,penny-176,0.01
2025-01-01,revenue,Product Sales,penny-177,0.01
2025-01-01,revenue,Product Sales,penny-178,0.01
2025-01-01,revenue,Product Sales,penny-179,0.01
2025-01-01,revenue,Product Sales,penny-180,0.01
2025-01-01,revenue,Product Sales,penny-181,0.01
2025-01-01,revenue,Product Sales,penny-182,0.01
2025-01-01,revenue,Product Sales,penny-183,0.01
2025-01-01,revenue,Product Sales,penny-184,0.01
2025-01-01,revenue,Product Sales,penny-185,0.01
2025-01-01,revenue,Product Sales,penny-186,0.01
2025-01-01,revenue,Product Sales,penny-187,0.01
2025-01-01,revenue,Product Sales,penny-188,0.01
2025-01-01,revenue,Product Sales,penny-189,0.01
2025-01-01,revenue,Product Sales,penny-190,0.01
2025-01-01,revenue,Product Sales,penny-191,0.01
2025-01-01,revenue,Product Sales,penny-192,0.01
2025-01-01,revenue,Product Sales,penny-193,0.01
2025-01-01,revenue,Product Sales,penny-194,0.01
2025-01-01,revenue,Product Sales,penny-195,0.01
2025-01-01,revenue,Product Sales,penny-196,0.01
2025-01-01,revenue,Product Sales,penny-197,0.01
2025-01-01,revenue,Product Sales,penny-198,0.01
2025-01-01,revenue,Product Sales,penny-199,0.01
2025-01-01,revenue,Product Sales,penny-200,0.01
2025-01-01,revenue,Product Sales,penny-201,0.01
2025-01-01,revenue,Product Sales,penny-202,0.01
2025-01-01,revenue,Product Sales,penny-203,0.01
2025-01-01,revenue,Product Sales,penny-204,0.01
2025-01-01,revenue,Product Sales,penny-205,0.01
2025-01-01,revenue,Product Sales,penny-206,0.01
2025-01-01,revenue,Product Sales,penny-207,0.01
2025-01-01,revenue,Product Sales,penny-208,0.01
2025-01-01,revenue,Product Sales,penny-209,0.01
2025-01-01,revenue,Product Sales,penny-210,0.01
2025-01-01,revenue,Product Sales,penny-211,0.01
2025-01-01,revenue,Product Sales,penny-212,0.01
2025-01-01,revenue,Product Sales,penny-213,0.01
2025-01-01,revenue,Product Sales,penny-214,0.01
2025-01-01,revenue,Product Sales,penny-215,0.01
2025-01-01,revenue,Product Sales,penny-216,0.01
2025-01-01,revenue,Product Sales,penny-217,0.01
2025-01-01,revenue,Product Sales,penny-218,0.01
2025-01-01,revenue,Product Sales,penny-219,0.01
2025-01-01,revenue,Product Sales,penny-220,0.01
2025-01-01,revenue,Product Sales,penny-221,0.01
2025-01-01,revenue,Product Sales,penny-222,0.01
2025-01-01,revenue,Product Sales,penny-223,0.01
2025-01-01,revenue,Product Sales,penny-224,0.01
2025-01-01,revenue,Product Sales,penny-225,0.01
2025-01-01,revenue,Product Sales,penny-226,0.01
2025-01-01,revenue,Product Sales,penny-227,0.01
2025-01-01,revenue,Product Sales,penny-228,0.01
2025-01-01,revenue,Product Sales,penny-229,0.01
2025-01-01,revenue,Product Sales,penny-230,0.01
2025-01-01,revenue,Product Sales,penny-231,0.01
2025-01-01,revenue,Product Sales,penny-232,0.01
2025-01-01,revenue,Product Sales,penny-233,0.01
2025-01-01,revenue,Product Sales,penny-234,0.01
2025-01-01,revenue,Product Sales,penny-235,0.01
2025-01-01,revenue,Product Sales,penny-236,0.01
2025-01-01,revenue,Product Sales,penny-237,0.01
2025-01-01,revenue,Product Sales,penny-238,0.01
2025-01-01,revenue,Product Sales,penny-239,0.01
2025-01-01,revenue,Product Sales,penny-240,0.01
2025-01-01,revenue,Product Sales,penny-241,0.01
2025-01-01,revenue,Product Sales,penny-242,0.01
2025-01-01,revenue,Product Sales,penny-243,0.01
2025-01-01,revenue,Product Sales,penny-244,0.01
2025-01-01,revenue,Product Sales,penny-245,0.01
2025-01-01,revenue,Product Sales,penny-246,0.01
2025-01-01,revenue,Product Sales,penny-247,0.01
2025-01-01,revenue,Product Sales,penny-248,0.01
2025-01-01,revenue,Product Sales,penny-249,0.01
2025-01-01,revenue,Product Sales,penny-250,0.01
2025-01-01,revenue,Product Sales,penny-251,0.01
2025-01-01,revenue,Product Sales,penny-252,0.01
2025-01-01,revenue,Product Sales,penny-253,0.01
2025-01-01,revenue,Product Sales,penny-254,0.01
2025-01-01,revenue,Product Sales,penny-255,0.01
2025-01-01,revenue,Product Sales,penny-256,0.01
2025-01-01,revenue,Product Sales,penny-257,0.01
2025-01-01,revenue,Product Sales,penny-258,0.01
2025-01-01,revenue,Product Sales,penny-259,0.01
2025-01-01,revenue,Product Sales,penny-260,0.01
2025-01-01,revenue,Product Sales,penny-261,0.01
2025-01-01,revenue,Product Sales,penny-262,0.01
2025-01-01,revenue,Product Sales,penny-263,0.01
2025-01-01,revenue,Product Sales,penny-264,0.01
2025-01-01,revenue,Product Sales,penny-265,0.01
2025-01-01,revenue,Product Sales,penny-266,0.01
2025-01-01,revenue,Product Sales,penny-267,0.01
2025-01-01,revenue,Product Sales,penny-268,0.01
2025-01-01,revenue,Product Sales,penny-269,0.01
2025-01-01,revenue,Product Sales,penny-270,0.01
2025-01-01,revenue,Product Sales,penny-271,0.01
2025-01-01,revenue,Product Sales,penny-272,0.01
2025-01-01,revenue,Product Sales,penny-273,0.01
2025-01-01,revenue,Product Sales,penny-274,0.01
2025-01-01,revenue,Product Sales,penny-275,0.01
2025-01-01,revenue,Product Sales,penny-276,0.01
2025-01-01,revenue,Product Sales,penny-277,0.01
2025-01-01,revenue,Product Sales,penny-278,0.01
2025-01-01,revenue,Product Sales,penny-279,0.01
2025-01-01,revenue,Product Sales,penny-280,0.01
2025-01-01,revenue,Product Sales,penny-281,0.01
2025-01-01,revenue,Product Sales,penny-282,0.01
2025-01-01,revenue,Product Sales,penny-283,0.01
2025-01-01,revenue,Product Sales,penny-284,0.01
2025-01-01,revenue,Product Sales,penny-285,0.01
2025-01-01,revenue,Product Sales,penny-286,0.01
2025-01-01,revenue,Product Sales,penny-287,0.01
2025-01-01,revenue,Product Sales,penny-288,0.01
2025-01-01,revenue,Product Sales,penny-289,0.01
2025-01-01,revenue,Product Sales,penny-290,0.01
2025-01-01,revenue,Product Sales,penny-291,0.01
2025-01-01,revenue,Product Sales,penny-292,0.01
2025-01-01,revenue,Product Sales,penny-293,0.01
2025-01-01,revenue,Product Sales,penny-294,0.01
2025-01-01,revenue,Product Sales,penny-295,0.01
2025-01-01,revenue,Product Sales,penny-296,0.01
2025-01-01,revenue,Product Sales,penny-297,0.01
2025-01-01,revenue,Product Sales,penny-298,0.01
2025-01-01,revenue,Product Sales,penny-299,0.01
2025-01-01,revenue,Product Sales,penny-300,0.01
2025-01-01,revenue,Product Sales,penny-301,0.01
2025-01-01,revenue,Product Sales,penny-302,0.01
2025-01-01,revenue,Product Sales,penny-303,0.01
2025-01-01,revenue,Product Sales,penny-304,0.01
2025-01-01,revenue,Product Sales,penny-305,0.01
2025-01-01,revenue,Product Sales,penny-306,0.01
2025-01-01,revenue,Product Sales,penny-307,0.01
2025-01-01,revenue,Product Sales,penny-308,0.01
2025-01-01,revenue,Product Sales,penny-309,0.01
2025-01-01,revenue,Product Sales,penny-310,0.01
2025-01-01,revenue,Product Sales,penny-311,0.01
2025-01-01,revenue,Product Sales,penny-312,0.01
2025-01-01,revenue,Product Sales,penny-313,0.01
2025-01-01,revenue,Product Sales,penny-314,0.01
2025-01-01,revenue,Product Sales,penny-315,0.01
2025-01-01,revenue,Product Sales,penny-316,0.01
2025-01-01,revenue,Product Sales,penny-317,0.01
2025-01-01,revenue,Product Sales,penny-318,0.01
2025-01-01,revenue,Product Sales,penny-319,0.01
2025-01-01,revenue,Product Sales,penny-320,0.01
2025-01-01,revenue,Product Sales,penny-321,0.01
2025-01-01,revenue,Product Sales,penny-322,0.01
2025-01-01,revenue,Product Sales,penny-323,0.01
2025-01-01,revenue,Product Sales,penny-324,0.01
2025-01-01,revenue,Product Sales,penny-325,0.01
2025-01-01,revenue,Product Sales,penny-326,0.01
2025-01-01,revenue,Product Sales,penny-327,0.01
2025-01-01,revenue,Product Sales,penny-328,0.01
2025-01-01,revenue,Product Sales,penny-329,0.01
2025-01-01,revenue,Product Sales,penny-330,0.01
2025-01-01,revenue,Product Sales,penny-331,0.01
2025-01-01,revenue,Product Sales,penny-332,0.01
2025-01-01,revenue,Product Sales,penny-333,0.01
2025-01-01,revenue,Product Sales,penny-334,0.01
2025-01-01,revenue,Product Sales,penny-335,0.01
2025-01-01,revenue,Product Sales,penny-336,0.01
2025-01-01,revenue,Product Sales,penny-337,0.01
2025-01-01,revenue,Product Sales,penny-338,0.01
2025-01-01,revenue,Product Sales,penny-339,0.01
2025-01-01,revenue,Product Sales,penny-340,0.01
2025-01-01,revenue,Product Sales,penny-341,0.01
2025-01-01,revenue,Product Sales,penny-342,0.01
2025-01-01,revenue,Product Sales,penny-343,0.01
2025-01-01,revenue,Product Sales,penny-344,0.01
2025-01-01,revenue,Product Sales,penny-345,0.01
2025-01-01,revenue,Product Sales,penny-346,0.01
2025-01-01,revenue,Product Sales,penny-347,0.01
2025-01-01,revenue,Product Sales,penny-348,0.01
2025-01-01,revenue,Product Sales,penny-349,0.01
2025-01-01,revenue,Product Sales,penny-350,0.01
2025-01-01,revenue,Product Sales,penny-351,0.01
2025-01-01,revenue,Product Sales,penny-352,0.01
2025-01-01,revenue,Product Sales,penny-353,0.01
2025-01-01,revenue,Product Sales,penny-354,0.01
2025-01-01,revenue,Product Sales,penny-355,0.01
2025-01-01,revenue,Product Sales,penny-356,0.01
2025-01-01,revenue,Product Sales,penny-357,0.01
2025-01-01,revenue,Product Sales,penny-358,0.01
2025-01-01,revenue,Product Sales,penny-359,0.01
2025-01-01,revenue,Product Sales,penny-360,0.01
2025-01-01,revenue,Product Sales,penny-361,0.01
2025-01-01,revenue,Product Sales,penny-362,0.01
2025-01-01,revenue,Product Sales,penny-363,0.01
2025-01-01,revenue,Product Sales,penny-364,0.01
2025-01-01,revenue,Product Sales,penny-365,0.01
2025-01-01,revenue,Product Sales,penny-366,0.01
2025-01-01,revenue,Product Sales,penny-367,0.01
2025-01-01,revenue,Product Sales,penny-368,0.01
2025-01-01,revenue,Product Sales,penny-369,0.01
2025-01-01,revenue,Product Sales,penny-370,0.01
2025-01-01,revenue,Product Sales,penny-371,0.01
2025-01-01,revenue,Product Sales,penny-372,0.01
2025-01-01,revenue,Product Sales,penny-373,0.01
2025-01-01,revenue,Product Sales,penny-374,0.01
2025-01-01,revenue,Product Sales,penny-375,0.01
2025-01-01,revenue,Product Sales,penny-376,0.01
2025-01-01,revenue,Product Sales,penny-377,0.01
2025-01-01,revenue,Product Sales,penny-378,0.01
2025-01-01,revenue,Product Sales,penny-379,0.01
2025-01-01,revenue,Product Sales,penny-380,0.01
2025-01-01,revenue,Product Sales,penny-381,0.01
2025-01-01,revenue,Product Sales,penny-382,0.01
2025-01-01,revenue,Product Sales,penny-383,0.01
2025-01-01,revenue,Product Sales,penny-384,0.01
2025-01-01,revenue,Product Sales,penny-385,0.01
2025-01-01,revenue,Product Sales,penny-386,0.01
2025-01-01,revenue,Product Sales,penny-387,0.01
2025-01-01,revenue,Product Sales,penny-388,0.01
2025-01-01,revenue,Product Sales,penny-389,0.01
2025-01-01,revenue,Product Sales,penny-390,0.01
2025-01-01,revenue,Product Sales,penny-391,0.01
2025-01-01,revenue,Product Sales,penny-392,0.01
2025-01-01,revenue,Product Sales,penny-393,0.01
2025-01-01,revenue,Product Sales,penny-394,0.01
2025-01-01,revenue,Product Sales,penny-395,0.01
2025-01-01,revenue,Product Sales,penny-396,0.01
2025-01-01,revenue,Product Sales,penny-397,0.01
2025-01-01,revenue,Product Sales,penny-398,0.01
2025-01-01,revenue,Product Sales,penny-399,0.01
2025-01-01,revenue,Product Sales,penny-400,0.01
2025-01-01,revenue,Product Sales,penny-401,0.01
2025-01-01,revenue,Product Sales,penny-402,0.01
2025-01-01,revenue,Product Sales,penny-403,0.01
2025-01-01,revenue,Product Sales,penny-404,0.01
2025-01-01,revenue,Product Sales,penny-405,0.01
2025-01-01,revenue,Product Sales,penny-406,0.01
2025-01-01,revenue,Product Sales,penny-407,0.01
2025-01-01,revenue,Product Sales,penny-408,0.01
2025-01-01,revenue,Product Sales,penny-409,0.01
2025-01-01,revenue,Product Sales,penny-410,0.01
2025-01-01,revenue,Product Sales,penny-411,0.01
2025-01-01,revenue,Product Sales,penny-412,0.01
2025-01-01,revenue,Product Sales,penny-413,0.01
2025-01-01,revenue,Product Sales,penny-414,0.01
2025-01-01,revenue,Product Sales,penny-415,0.01
2025-01-01,revenue,Product Sales,penny-416,0.01
2025-01-01,revenue,Product Sales,penny-417,0.01
2025-01-01,revenue,Product Sales,penny-418,0.01
2025-01-01,revenue,Product Sales,penny-419,0.01
2025-01-01,revenue,Product Sales,penny-420,0.01
2025-01-01,revenue,Product Sales,penny-421,0.01
2025-01-01,revenue,Product Sales,penny-422,0.01
2025-01-01,revenue,Product Sales,penny-423,0.01
2025-01-01,revenue,Product Sales,penny-424,0.01
2025-01-01,revenue,Product Sales,penny-425,0.01
2025-01-01,revenue,Product Sales,penny-426,0.01
2025-01-01,revenue,Product Sales,penny-427,0.01
2025-01-01,revenue,Product Sales,penny-428,0.01
2025-01-01,revenue,Product Sales,penny-429,0.01
2025-01-01,revenue,Product Sales,penny-430,0.01
2025-01-01,revenue,Product Sales,penny-431,0.01
2025-01-01,revenue,Product Sales,penny-432,0.01
2025-01-01,revenue,Product Sales,penny-433,0.01
2025-01-01,revenue,Product Sales,penny-434,0.01
2025-01-01,revenue,Product Sales,penny-435,0.01
2025-01-01,revenue,Product Sales,penny-436,0.01
2025-01-01,revenue,Product Sales,penny-437,0.01
2025-01-01,revenue,Product Sales,penny-438,0.01
2025-01-01,revenue,Product Sales,penny-439,0.01
2025-01-01,revenue,Product Sales,penny-440,0.01
2025-01-01,revenue,Product Sales,penny-441,0.01
2025-01-01,revenue,Product Sales,penny-442,0.01
2025-01-01,revenue,Product Sales,penny-443,0.01
2025-01-01,revenue,Product Sales,penny-444,0.01
2025-01-01,revenue,Product Sales,penny-445,0.01
2025-01-01,revenue,Product Sales,penny-446,0.01
2025-01-01,revenue,Product Sales,penny-447,0.01
2025-01-01,revenue,Product Sales,penny-448,0.01
2025-01-01,revenue,Product Sales,penny-449,0.01
2025-01-01,revenue,Product Sales,penny-450,0.01
2025-01-01,revenue,Product Sales,penny-451,0.01
2025-01-01,revenue,Product Sales,penny-452,0.01
2025-01-01,revenue,Product Sales,penny-453,0.01
2025-01-01,revenue,Product Sales,penny-454,0.01
2025-01-01,revenue,Product Sales,penny-455,0.01
2025-01-01,revenue,Product Sales,penny-456,0.01
2025-01-01,revenue,Product Sales,penny-457,0.01
2025-01-01,revenue,Product Sales,penny-458,0.01
2025-01-01,revenue,Product Sales,penny-459,0.01
2025-01-01,revenue,Product Sales,penny-460,0.01
2025-01-01,revenue,Product Sales,penny-461,0.01
2025-01-01,revenue,Product Sales,penny-462,0.01
2025-01-01,revenue,Product Sales,penny-463,0.01
2025-01-01,revenue,Product Sales,penny-464,0.01
2025-01-01,revenue,Product Sales,penny-465,0.01
2025-01-01,revenue,Product Sales,penny-466,0.01
2025-01-01,revenue,Product Sales,penny-467,0.01
2025-01-01,revenue,Product Sales,penny-468,0.01
2025-01-01,revenue,Product Sales,penny-469,0.01
2025-01-01,revenue,Product Sales,penny-470,0.01
2025-01-01,revenue,Product Sales,penny-471,0.01
2025-01-01,revenue,Product Sales,penny-472,0.01
2025-01-01,revenue,Product Sales,penny-473,0.01
2025-01-01,revenue,Product Sales,penny-474,0.01
2025-01-01,revenue,Product Sales,penny-475,0.01
2025-01-01,revenue,Product Sales,penny-476,0.01
2025-01-01,revenue,Product Sales,penny-477,0.01
2025-01-01,revenue,Product Sales,penny-478,0.01
2025-01-01,revenue,Product Sales,penny-479,0.01
2025-01-01,revenue,Product Sales,penny-480,0.01
2025-01-01,revenue,Product Sales,penny-481,0.01
2025-01-01,revenue,Product Sales,penny-482,0.01
2025-01-01,revenue,Product Sales,penny-483,0.01
2025-01-01,revenue,Product Sales,penny-484,0.01
2025-01-01,revenue,Product Sales,penny-485,0.01
2025-01-01,revenue,Product Sales,penny-486,0.01
2025-01-01,revenue,Product Sales,penny-487,0.01
2025-01-01,revenue,Product Sales,penny-488,0.01
2025-01-01,revenue,Product Sales,penny-489,0.01
2025-01-01,revenue,Product Sales,penny-490,0.01
2025-01-01,revenue,Product Sales,penny-491,0.01
2025-01-01,revenue,Product Sales,penny-492,0.01
2025-01-01,revenue,Product Sales,penny-493,0.01
2025-01-01,revenue,Product Sales,penny-494,0.01
2025-01-01,revenue,Product Sales,penny-495,0.01
2025-01-01,revenue,Product Sales,penny-496,0.01
2025-01-01,revenue,Product Sales,penny-497,0.01
2025-01-01,revenue,Product Sales,penny-498,0.01
2025-01-01,revenue,Product Sales,penny-499,0.01
2025-01-01,revenue,Product Sales,penny-500,0.01
2025-01-01,revenue,Product Sales,penny-501,0.01
2025-01-01,revenue,Product Sales,penny-502,0.01
2025-01-01,revenue,Product Sales,penny-503,0.01
2025-01-01,revenue,Product Sales,penny-504,0.01
2025-01-01,revenue,Product Sales,penny-505,0.01
2025-01-01,revenue,Product Sales,penny-506,0.01
2025-01-01,revenue,Product Sales,penny-507,0.01
2025-01-01,revenue,Product Sales,penny-508,0.01
2025-01-01,revenue,Product Sales,penny-509,0.01
2025-01-01,revenue,Product Sales,penny-510,0.01
2025-01-01,revenue,Product Sales,penny-511,0.01
2025-01-01,revenue,Product Sales,penny-512,0.01
2025-01-01,revenue,Product Sales,penny-513,0.01
2025-01-01,revenue,Product Sales,penny-514,0.01
2025-01-01,revenue,Product Sales,penny-515,0.01
2025-01-01,revenue,Product Sales,penny-516,0.01
2025-01-01,revenue,Product Sales,penny-517,0.01
2025-01-01,revenue,Product Sales,penny-518,0.01
2025-01-01,revenue,Product Sales,penny-519,0.01
2025-01-01,revenue,Product Sales,penny-520,0.01
2025-01-01,revenue,Product Sales,penny-521,0.01
2025-01-01,revenue,Product Sales,penny-522,0.01
2025-01-01,revenue,Product Sales,penny-523,0.01
2025-01-01,revenue,Product Sales,penny-524,0.01
2025-01-01,revenue,Product Sales,penny-525,0.01
2025-01-01,revenue,Product Sales,penny-526,0.01
2025-01-01,revenue,Product Sales,penny-527,0.01
2025-01-01,revenue,Product Sales,penny-528,0.01
2025-01-01,revenue,Product Sales,penny-529,0.01
2025-01-01,revenue,Product Sales,penny-530,0.01
2025-01-01,revenue,Product Sales,penny-531,0.01
2025-01-01,revenue,Product Sales,penny-532,0.01
2025-01-01,revenue,Product Sales,penny-533,0.01
2025-01-01,revenue,Product Sales,penny-534,0.01
2025-01-01,revenue,Product Sales,penny-535,0.01
2025-01-01,revenue,Product Sales,penny-536,0.01
