date,type,category,description,amount
2025-07-08,revenue,Service Revenue,Rev txn,2114.83
2025-02-02,expense,Software & Subscriptions,Exp txn,1531.34
2025-04-03,revenue,Consulting / Retainers,Rev txn,2124.07
2025-07-22,expense,Rent / Office Space,Exp txn,101.55
2025-10-15,revenue,Other Revenue,Rev txn,2122.54
2025-08-06,expense,Cost of Goods Sold (COGS),Exp txn,255.34
2025-06-23,revenue,Online / Digital Sales,Rev txn,811.09
2025-09-04,revenue,Product Sales,Rev txn,493.66
2025-12-31,revenue,Consulting / Retainers,Rev txn,1264.01
2025-01-24,revenue,Product Sales,Rev txn,809.81
2025-04-29,revenue,Consulting / Retainers,Rev txn,383.45
2025-01-20,revenue,Service Revenue,Rev txn,4746.12
2025-04-18,expense,Cost of Goods Sold (COGS),Exp txn,1182.07
2025-08-08,expense,Software & Subscriptions,Exp txn,295.22
2025-12-02,expense,Other Expense,Exp txn,563.98
2025-01-14,revenue,Service Revenue,Rev txn,4643.84
2025-06-27,expense,Cost of Goods Sold (COGS),Exp txn,1380.55
2025-03-01,expense,Cost of Goods Sold (COGS),Exp txn,251.86
2025-03-29,expense,Marketing & Advertising,Exp txn,566.19
2025-04-16,expense,Software & Subscriptions,Exp txn,1506.58
2025-07-01,revenue,Service Revenue,Rev txn,2987.29
2025-12-05,expense,Salaries & Wages,Exp txn,27.16
2025-11-13,expense,Marketing & Advertising,Exp txn,724.7
2025-04-10,expense,Rent / Office Space,Exp txn,858.92
2025-11-23,expense,Rent / Office Space,Exp txn,851.69
2025-06-26,expense,Software & Subscriptions,Exp txn,1405.98
2025-12-29,revenue,Other Revenue,Rev txn,1267.25
2025-05-09,revenue,Online / Digital Sales,Rev txn,4789.86
2025-02-14,expense,Other Expense,Exp txn,772.36
2025-02-04,revenue,Other Revenue,Rev txn,2258.98
2025-04-05,revenue,Other Revenue,Rev txn,3643.05
2025-09-10,revenue,Other Revenue,Rev txn,1006.64
2025-06-25,expense,Marketing & Advertising,Exp txn,1729.12
2025-07-24,revenue,Subscription Income,Rev txn,645.75
2025-02-05,expense,Salaries & Wages,Exp txn,1924.2
2025-05-03,revenue,Service Revenue,Rev txn,1344.98
2025-10-03,revenue,Subscription Income,Rev txn,987.51
2025-03-13,revenue,Consulting / Retainers,Rev txn,2124.78
2025-10-08,expense,Marketing & Advertising,Exp txn,1535.19
2025-08-30,expense,Marketing & Advertising,Exp txn,1768.3
2025-09-08,expense,Cost of Goods Sold (COGS),Exp txn,1146.29
2025-07-01,revenue,Product Sales,Rev txn,1306.2
2025-02-17,expense,Other Expense,Exp txn,1965.26
2025-11-27,revenue,Online / Digital Sales,Rev txn,2593.54
2025-12-09,revenue,Consulting / Retainers,Rev txn,1365.71
2025-12-24,revenue,Subscription Income,Rev txn,3035.67
2025-08-10,revenue,Subscription Income,Rev txn,1981.99
2025-12-16,expense,Salaries & Wages,Exp txn,907.23
2025-10-05,revenue,Other Revenue,Rev txn,1223.65
2025-01-26,expense,Salaries & Wages,Exp txn,1135.21
2025-06-07,revenue,Online / Digital Sales,Rev txn,2141.19
2025-07-29,expense,Software & Subscriptions,Exp txn,1902.02
2025-10-03,expense,Salaries & Wages,Exp txn,1776.38
2025-06-05,expense,Software & Subscriptions,Exp txn,1665.88
2025-11-18,revenue,Product Sales,Rev txn,3500.43
2025-12-11,expense,Salaries & Wages,Exp txn,810.42
2025-07-05,revenue,Consulting / Retainers,Rev txn,2592.74
2025-02-19,revenue,Other Revenue,Rev txn,4935.01
2025-04-09,revenue,Consulting / Retainers,Rev txn,1339.77
2025-09-24,revenue,Online / Digital Sales,Rev txn,2713.13
2025-11-28,revenue,Subscription Income,Rev txn,2641.13
2025-07-07,revenue,Consulting / Retainers,Rev txn,4841.16
2025-08-28,expense,Software & Subscriptions,Exp txn,1846.05
2025-06-01,revenue,Service Revenue,Rev txn,1051.49
2025-03-28,revenue,Other Revenue,Rev txn,4627.84
2025-02-22,expense,Rent / Office Space,Exp txn,893.97
2025-10-09,expense,Other Expense,Exp txn,1025.98
2025-11-08,revenue,Subscription Income,Rev txn,2701.24
2025-02-24,revenue,Online / Digital Sales,Rev txn,596.8
2025-03-11,revenue,Other Revenue,Rev txn,4111.52
2025-01-21,revenue,Service Revenue,Rev txn,4758.54
2025-08-15,expense,Software & Subscriptions,Exp txn,881.32
2025-06-25,expense,Cost of Goods Sold (COGS),Exp txn,1201.64
2025-05-26,expense,Rent / Office Space,Exp txn,1939.73
2025-04-17,expense,Rent / Office Space,Exp txn,330.97
2025-12-10,expense,Software & Subscriptions,Exp txn,887.54
2025-10-23,expense,Salaries & Wages,Exp txn,155.06
2025-02-16,expense,Salaries & Wages,Exp txn,1633.97
2025-05-03,revenue,Other Revenue,Rev txn,1585.0
2025-06-02,expense,Other Expense,Exp txn,1775.61
2025-12-14,expense,Salaries & Wages,Exp txn,367.81
2025-04-02,revenue,Online / Digital Sales,Rev txn,57.81
2025-11-24,expense,Software & Subscriptions,Exp txn,937.24
2025-02-27,revenue,Other Revenue,Rev txn,2536.51
2025-05-15,expense,Rent / Office Space,Exp txn,80.54
2025-02-22,revenue,Other Revenue,Rev txn,3433.52
2025-11-19,expense,Software & Subscriptions,Exp txn,376.63
2025-04-11,revenue,Product Sales,Rev txn,4983.86
2025-01-23,revenue,Product Sales,Rev txn,147.72
2025-06-18,expense,Other Expense,Exp txn,912.34
2025-01-13,revenue,Other Revenue,Rev txn,1359.38
2025-06-03,expense,Cost of Goods Sold (COGS),Exp txn,830.41
2025-12-27,expense,Other Expense,Exp txn,1046.97
2025-09-16,expense,Salaries & Wages,Exp txn,485.4
2025-04-15,revenue,Consulting / Retainers,Rev txn,2300.49
2025-12-17,revenue,Service Revenue,Rev txn,4254.48
2025-02-09,revenue,Service Revenue,Rev txn,2396.25
2025-08-02,expense,Other Expense,Exp txn,1086.29
2025-10-13,revenue,Service Revenue,Rev txn,1038.76
2025-10-31,expense,Marketing & Advertising,Exp txn,155.85
2025-11-21,expense,Software & Subscriptions,Exp txn,751.03
2025-10-05,revenue,Subscription Income,Rev txn,4268.64
2025-11-28,expense,Rent / Office Space,Exp txn,856.26
2025-12-17,expense,Marketing & Advertising,Exp txn,1361.03
2025-11-29,revenue,Online / Digital Sales,Rev txn,2450.35
2025-06-29,revenue,Product Sales,Rev txn,3037.86
2025-10-10,revenue,Consulting / Retainers,Rev txn,4182.0
2025-01-06,revenue,Other Revenue,Rev txn,2208.49
2025-03-04,expense,Rent / Office Space,Exp txn,1401.95
2025-01-02,revenue,Subscription Income,Rev txn,4697.87
2025-08-06,revenue,Product Sales,Rev txn,3960.84
2025-02-13,revenue,Service Revenue,Rev txn,3120.35
2025-11-10,expense,Software & Subscriptions,Exp txn,419.04
2025-05-17,expense,Marketing & Advertising,Exp txn,1347.2
2025-08-23,revenue,Consulting / Retainers,Rev txn,2823.73
2025-06-22,expense,Software & Subscriptions,Exp txn,1341.09
2025-06-22,revenue,Other Revenue,Rev txn,4804.9
2025-06-17,revenue,Online / Digital Sales,Rev txn,3542.76
2025-12-15,expense,Rent / Office Space,Exp txn,845.38
2025-05-10,revenue,Subscription Income,Rev txn,4308.83
2025-03-28,expense,Rent / Office Space,Exp txn,980.4
2025-07-10,revenue,Online / Digital Sales,Rev txn,4125.88
2025-03-16,revenue,Consulting / Retainers,Rev txn,3469.55
2025-04-16,revenue,Online / Digital Sales,Rev txn,339.63
2025-06-25,revenue,Other Revenue,Rev txn,1001.35
2025-11-28,revenue,Service Revenue,Rev txn,2695.73
2025-04-22,revenue,Subscription Income,Rev txn,2587.0
2025-09-25,revenue,Online / Digital Sales,Rev txn,2657.55
2025-07-15,revenue,Online / Digital Sales,Rev txn,1944.8
2025-04-12,revenue,Consulting / Retainers,Rev txn,368.92
2025-01-26,revenue,Subscription Income,Rev txn,2905.44
2025-02-19,revenue,Product Sales,Rev txn,3775.51
2025-08-04,expense,Salaries & Wages,Exp txn,921.22
2025-03-09,revenue,Online / Digital Sales,Rev txn,274.95
2025-12-24,expense,Marketing & Advertising,Exp txn,796.57
2025-07-27,expense,Marketing & Advertising,Exp txn,1995.44
2025-10-06,revenue,Online / Digital Sales,Rev txn,50.84
2025-10-11,expense,Other Expense,Exp txn,1138.84
2025-09-16,expense,Salaries & Wages,Exp txn,230.69
2025-05-05,expense,Other Expense,Exp txn,1486.4
2025-12-16,revenue,Subscription Income,Rev txn,4504.82
2025-11-25,expense,Salaries & Wages,Exp txn,44.04
2025-02-18,expense,Software & Subscriptions,Exp txn,1167.24
2025-11-02,revenue,Product Sales,Rev txn,792.15
2025-04-27,revenue,Subscription Income,Rev txn,4203.21
2025-03-25,revenue,Subscription Income,Rev txn,2580.64
2025-05-13,expense,Cost of Goods Sold (COGS),Exp txn,452.39
2025-10-06,revenue,Product Sales,Rev txn,3220.93
2025-02-12,expense,Rent / Office Space,Exp txn,751.01
2025-11-01,revenue,Consulting / Retainers,Rev txn,3517.87
2025-09-07,revenue,Consulting / Retainers,Rev txn,4353.61
2025-10-02,revenue,Service Revenue,Rev txn,3408.54
2025-11-01,expense,Salaries & Wages,Exp txn,1803.58
2025-02-08,revenue,Consulting / Retainers,Rev txn,3790.93
2025-10-19,revenue,Subscription Income,Rev txn,4264.65
2025-08-02,revenue,Online / Digital Sales,Rev txn,2956.68
2025-05-28,revenue,Product Sales,Rev txn,1739.72
2025-11-01,expense,Marketing & Advertising,Exp txn,1840.53
2025-06-17,revenue,Subscription Income,Rev txn,686.04
2025-01-11,revenue,Online / Digital Sales,Rev txn,729.78
2025-12-08,expense,Cost of Goods Sold (COGS),Exp txn,1138.81
2025-03-21,revenue,Other Revenue,Rev txn,2277.73
2025-03-01,revenue,Other Revenue,Rev txn,3466.88
2025-03-12,expense,Salaries & Wages,Exp txn,1850.75
2025-08-28,expense,Rent / Office Space,Exp txn,891.14
2025-10-29,revenue,Product Sales,Rev txn,3466.17
2025-10-02,expense,Salaries & Wages,Exp txn,369.81
2025-01-23,revenue,Subscription Income,Rev txn,2065.03
2025-02-02,expense,Marketing & Advertising,Exp txn,1135.01
2025-04-07,expense,Salaries & Wages,Exp txn,114.79
2025-03-10,expense,Rent / Office Space,Exp txn,1114.86
2025-01-07,revenue,Product Sales,Rev txn,4536.2
2025-10-18,revenue,Subscription Income,Rev txn,1621.61
2025-12-31,expense,Rent / Office Space,Exp txn,24.16
2025-03-17,revenue,Consulting / Retainers,Rev txn,3442.6
2025-12-12,revenue,Online / Digital Sales,Rev txn,1690.9
2025-05-18,expense,Other Expense,Exp txn,1447.53
2025-09-02,revenue,Service Revenue,Rev txn,2983.9
2025-08-03,expense,Cost of Goods Sold (COGS),Exp txn,38.99
2025-10-06,revenue,Other Revenue,Rev txn,3817.74
2025-04-21,expense,Software & Subscriptions,Exp txn,1862.04
2025-07-05,revenue,Service Revenue,Rev txn,981.72
2025-05-07,revenue,Online / Digital Sales,Rev txn,1280.46
2025-06-28,expense,Other Expense,Exp txn,110.02
2025-05-16,expense,Marketing & Advertising,Exp txn,752.88
2025-09-17,expense,Salaries & Wages,Exp txn,755.85
2025-01-09,revenue,Product Sales,Rev txn,4626.19
2025-09-23,revenue,Subscription Income,Rev txn,610.16
2025-11-09,revenue,Other Revenue,Rev txn,2617.58
2025-04-11,expense,Other Expense,Exp txn,1378.98
2025-10-19,revenue,Service Revenue,Rev txn,127.37
2025-07-09,revenue,Other Revenue,Rev txn,4922.73
2025-07-27,revenue,Online / Digital Sales,Rev txn,4021.21
2025-03-13,expense,Rent / Office Space,Exp txn,1576.66
2025-07-11,revenue,Product Sales,Rev txn,1005.18
2025-02-10,expense,Cost of Goods Sold (COGS),Exp txn,801.07
2025-04-15,revenue,Online / Digital Sales,Rev txn,933.29
2025-07-11,revenue,Subscription Income,Rev txn,2108.86
2025-01-01,expense,Salaries & Wages,Exp txn,317.02
2025-09-12,revenue,Subscription Income,Rev txn,2867.33
2025-05-30,expense,Marketing & Advertising,Exp txn,1232.9
2025-05-02,expense,Other Expense,Exp txn,1239.66
2025-01-07,revenue,Service Revenue,Rev txn,4234.14
2025-05-13,revenue,Subscription Income,Rev txn,628.37
2025-06-20,expense,Marketing & Advertising,Exp txn,123.75
2025-01-29,revenue,Online / Digital Sales,Rev txn,4589.7
2025-08-17,revenue,Subscription Income,Rev txn,695.9
2025-06-22,revenue,Online / Digital Sales,Rev txn,2400.61
2025-06-09,revenue,Service Revenue,Rev txn,3845.37
2025-03-06,revenue,Product Sales,Rev txn,1769.94
2025-12-29,revenue,Online / Digital Sales,Rev txn,4539.06
2025-03-15,revenue,Other Revenue,Rev txn,1342.68
2025-02-12,expense,Rent / Office Space,Exp txn,1213.99
2025-11-15,expense,Software & Subscriptions,Exp txn,303.39
2025-01-11,expense,Salaries & Wages,Exp txn,1615.78
2025-11-15,expense,Software & Subscriptions,Exp txn,866.31
2025-09-17,revenue,Service Revenue,Rev txn,1912.87
2025-10-15,expense,Cost of Goods Sold (COGS),Exp txn,770.71
2025-01-03,revenue,Consulting / Retainers,Rev txn,3167.82
2025-02-28,revenue,Service Revenue,Rev txn,683.32
2025-11-09,expense,Salaries & Wages,Exp txn,1930.26
2025-10-31,revenue,Online / Digital Sales,Rev txn,4540.45
2025-06-14,revenue,Product Sales,Rev txn,2468.68
2025-01-19,expense,Software & Subscriptions,Exp txn,1255.38
2025-02-18,revenue,Subscription Income,Rev txn,2463.15
2025-06-03,expense,Rent / Office Space,Exp txn,354.94
2025-09-05,revenue,Service Revenue,Rev txn,3159.01
2025-10-11,expense,Rent / Office Space,Exp txn,347.74
2025-03-25,expense,Software & Subscriptions,Exp txn,786.9
2025-02-22,revenue,Subscription Income,Rev txn,2622.35
2025-10-25,expense,Software & Subscriptions,Exp txn,1749.81
2025-12-05,revenue,Other Revenue,Rev txn,3904.72
2025-03-22,expense,Other Expense,Exp txn,1530.99
2025-05-21,expense,Marketing & Advertising,Exp txn,1248.62
2025-06-10,revenue,Subscription Income,Rev txn,3608.24
2025-06-14,revenue,Online / Digital Sales,Rev txn,1559.32
2025-06-09,revenue,Subscription Income,Rev txn,406.64
2025-07-29,revenue,Product Sales,Rev txn,1490.45
2025-03-17,expense,Cost of Goods Sold (COGS),Exp txn,1186.73
2025-10-21,expense,Software & Subscriptions,Exp txn,1559.6
2025-08-23,revenue,Online / Digital Sales,Rev txn,364.38
2025-05-16,expense,Other Expense,Exp txn,482.44
2025-06-06,expense,Rent / Office Space,Exp txn,54.98
2025-11-02,revenue,Service Revenue,Rev txn,1722.79
2025-05-07,expense,Software & Subscriptions,Exp txn,1679.4
2025-01-24,revenue,Service Revenue,Rev txn,3444.89
2025-08-25,revenue,Subscription Income,Rev txn,4350.32
2025-09-01,revenue,Online / Digital Sales,Rev txn,3247.91
2025-11-01,revenue,Subscription Income,Rev txn,4020.6
2025-11-17,revenue,Online / Digital Sales,Rev txn,3149.62
2025-05-17,revenue,Product Sales,Rev txn,922.06
2025-01-17,revenue,Subscription Income,Rev txn,2759.34
2025-11-04,revenue,Consulting / Retainers,Rev txn,688.21
2025-05-07,expense,Marketing & Advertising,Exp txn,1186.91
2025-02-16,expense,Other Expense,Exp txn,193.77
2025-08-17,revenue,Online / Digital Sales,Rev txn,1168.13
2025-12-06,expense,Marketing & Advertising,Exp txn,657.87
2025-01-20,revenue,Other Revenue,Rev txn,2400.16
2025-02-06,expense,Cost of Goods Sold (COGS),Exp txn,187.99
2025-05-11,expense,Rent / Office Space,Exp txn,888.82
2025-01-02,revenue,Service Revenue,Rev txn,2633.69
2025-07-06,revenue,Online / Digital Sales,Rev txn,988.65
2025-02-05,revenue,Consulting / Retainers,Rev txn,1316.67
2025-04-24,revenue,Other Revenue,Rev txn,1567.93
2025-06-20,expense,Other Expense,Exp txn,423.93
2025-11-12,revenue,Consulting / Retainers,Rev txn,1985.41
2025-10-04,revenue,Consulting / Retainers,Rev txn,549.01
2025-10-22,expense,Cost of Goods Sold (COGS),Exp txn,957.81
2025-06-23,revenue,Other Revenue,Rev txn,4739.87
2025-08-16,expense,Rent / Office Space,Exp txn,706.39
2025-10-29,revenue,Service Revenue,Rev txn,3625.93
2025-04-27,expense,Cost of Goods Sold (COGS),Exp txn,903.16
2025-07-15,revenue,Other Revenue,Rev txn,957.08
2025-07-07,revenue,Service Revenue,Rev txn,3380.37
2025-11-16,revenue,Online / Digital Sales,Rev txn,4976.25
2025-03-24,revenue,Consulting / Retainers,Rev txn,4373.79
2025-06-29,expense,Cost of Goods Sold (COGS),Exp txn,450.36
2025-03-08,expense,Software & Subscriptions,Exp txn,1989.85
2025-07-20,revenue,Service Revenue,Rev txn,1469.51
2025-04-06,revenue,Product Sales,Rev txn,3272.26
2025-03-20,revenue,Subscription Income,Rev txn,4214.88
2025-05-24,expense,Software & Subscriptions,Exp txn,340.2
2025-08-12,expense,Software & Subscriptions,Exp txn,1446.9
2025-05-15,revenue,Online / Digital Sales,Rev txn,715.72
2025-07-16,revenue,Product Sales,Rev txn,3243.1
2025-04-03,revenue,Product Sales,Rev txn,2127.45
2025-12-14,expense,Rent / Office Space,Exp txn,1391.31
2025-01-07,revenue,Consulting / Retainers,Rev txn,4989.87
2025-05-06,expense,Salaries & Wages,Exp txn,25.75
2025-08-14,revenue,Online / Digital Sales,Rev txn,4320.89
2025-05-22,revenue,Online / Digital Sales,Rev txn,285.4
2025-12-20,revenue,Subscription Income,Rev txn,3482.82
2025-09-19,expense,Other Expense,Exp txn,1617.03
2025-11-13,revenue,Service Revenue,Rev txn,2037.71
2025-01-25,revenue,Subscription Income,Rev txn,3860.91
2025-09-26,expense,Software & Subscriptions,Exp txn,1596.69
2025-10-26,expense,Cost of Goods Sold (COGS),Exp txn,1829.7
2025-10-20,expense,Rent / Office Space,Exp txn,1394.9
2025-04-03,revenue,Product Sales,Rev txn,2087.46
2025-01-07,revenue,Service Revenue,Rev txn,2910.49
2025-03-14,expense,Cost of Goods Sold (COGS),Exp txn,1985.96
2025-09-20,revenue,Service Revenue,Rev txn,4149.85
2025-04-19,revenue,Product Sales,Rev txn,215.05
2025-06-07,revenue,Product Sales,Rev txn,744.27
2025-03-28,revenue,Consulting / Retainers,Rev txn,3178.5
2025-07-26,revenue,Online / Digital Sales,Rev txn,1085.73
2025-08-15,revenue,Subscription Income,Rev txn,4370.61
2025-02-10,expense,Rent / Office Space,Exp txn,531.67
2025-06-09,expense,Rent / Office Space,Exp txn,1315.83
2025-06-22,expense,Software & Subscriptions,Exp txn,942.44
2025-09-04,expense,Cost of Goods Sold (COGS),Exp txn,1986.72
2025-10-23,revenue,Product Sales,Rev txn,732.12
2025-05-17,revenue,Online / Digital Sales,Rev txn,1395.71
2025-12-19,revenue,Subscription Income,Rev txn,3698.73
2025-10-13,expense,Cost of Goods Sold (COGS),Exp txn,1769.37
2025-02-23,revenue,Service Revenue,Rev txn,1827.37
2025-07-13,revenue,Service Revenue,Rev txn,3496.11
2025-06-10,expense,Rent / Office Space,Exp txn,1448.36
2025-12-17,expense,Salaries & Wages,Exp txn,835.09
2025-09-12,revenue,Other Revenue,Rev txn,4335.21
2025-01-12,expense,Software & Subscriptions,Exp txn,221.77
2025-07-17,revenue,Other Revenue,Rev txn,4316.59
2025-04-13,expense,Salaries & Wages,Exp txn,1901.66
2025-06-23,revenue,Product Sales,Rev txn,946.43
2025-11-22,revenue,Online / Digital Sales,Rev txn,788.94
2025-12-22,expense,Salaries & Wages,Exp txn,1332.51
2025-09-24,revenue,Other Revenue,Rev txn,3614.17
2025-03-10,expense,Marketing & Advertising,Exp txn,1227.33
2025-12-17,expense,Salaries & Wages,Exp txn,1584.42
2025-07-17,revenue,Service Revenue,Rev txn,2446.75
2025-12-20,expense,Marketing & Advertising,Exp txn,1487.19
2025-04-03,revenue,Subscription Income,Rev txn,2805.16
2025-05-25,expense,Software & Subscriptions,Exp txn,1041.44
2025-01-24,revenue,Subscription Income,Rev txn,4969.83
2025-10-12,revenue,Service Revenue,Rev txn,3461.28
2025-08-19,revenue,Other Revenue,Rev txn,3093.0
2025-03-17,expense,Software & Subscriptions,Exp txn,182.09
2025-12-21,revenue,Other Revenue,Rev txn,3947.17
2025-10-18,revenue,Consulting / Retainers,Rev txn,4340.53
2025-07-25,expense,Cost of Goods Sold (COGS),Exp txn,1251.33
2025-04-18,revenue,Online / Digital Sales,Rev txn,4752.59
2025-01-31,revenue,Online / Digital Sales,Rev txn,564.34
2025-08-31,revenue,Consulting / Retainers,Rev txn,3652.47
2025-03-12,revenue,Online / Digital Sales,Rev txn,285.28
2025-07-02,revenue,Online / Digital Sales,Rev txn,1102.58
2025-08-25,expense,Marketing & Advertising,Exp txn,630.4
2025-11-03,revenue,Other Revenue,Rev txn,3723.93
2025-08-14,revenue,Other Revenue,Rev txn,1697.67
2025-08-26,expense,Rent / Office Space,Exp txn,283.48
2025-06-14,expense,Salaries & Wages,Exp txn,1783.88
2025-03-31,revenue,Product Sales,Rev txn,3211.19
2025-03-13,expense,Salaries & Wages,Exp txn,723.55
2025-07-29,revenue,Subscription Income,Rev txn,1099.29
2025-12-27,revenue,Other Revenue,Rev txn,1800.01
2025-08-24,revenue,Service Revenue,Rev txn,4088.81
2025-08-18,revenue,Consulting / Retainers,Rev txn,1530.93
2025-11-04,expense,Rent / Office Space,Exp txn,795.05
2025-05-31,revenue,Subscription Income,Rev txn,4653.58
2025-08-07,revenue,Subscription Income,Rev txn,2003.75
2025-01-10,expense,Software & Subscriptions,Exp txn,1414.72
2025-10-04,revenue,Online / Digital Sales,Rev txn,2908.67
2025-12-30,revenue,Online / Digital Sales,Rev txn,570.86
2025-05-04,revenue,Online / Digital Sales,Rev txn,491.48
2025-05-01,revenue,Service Revenue,Rev txn,1284.86
2025-12-14,expense,Salaries & Wages,Exp txn,1396.17
2025-11-13,revenue,Service Revenue,Rev txn,404.64
2025-03-04,expense,Software & Subscriptions,Exp txn,739.67
2025-02-28,expense,Cost of Goods Sold (COGS),Exp txn,1527.65
2025-05-11,revenue,Other Revenue,Rev txn,1739.53
2025-02-10,revenue,Subscription Income,Rev txn,3518.45
2025-03-29,revenue,Other Revenue,Rev txn,2902.35
2025-11-06,expense,Other Expense,Exp txn,1062.88
2025-01-18,revenue,Online / Digital Sales,Rev txn,3315.26
2025-05-09,revenue,Product Sales,Rev txn,3236.09
2025-01-26,revenue,Other Revenue,Rev txn,4398.45
2025-10-17,revenue,Subscription Income,Rev txn,1691.0
2025-07-11,expense,Other Expense,Exp txn,1296.8
2025-09-07,expense,Software & Subscriptions,Exp txn,178.23
2025-03-05,revenue,Product Sales,Rev txn,3177.7
2025-03-11,expense,Rent / Office Space,Exp txn,1438.22
2025-10-22,expense,Software & Subscriptions,Exp txn,1712.09
2025-06-09,expense,Rent / Office Space,Exp txn,1490.12
2025-08-29,expense,Marketing & Advertising,Exp txn,682.02
2025-12-15,expense,Other Expense,Exp txn,718.92
2025-03-09,expense,Marketing & Advertising,Exp txn,1960.16
2025-06-01,revenue,Service Revenue,Rev txn,3143.57
2025-01-17,expense,Other Expense,Exp txn,361.79
2025-11-02,revenue,Consulting / Retainers,Rev txn,2126.59
2025-02-24,expense,Rent / Office Space,Exp txn,383.19
2025-04-09,revenue,Consulting / Retainers,Rev txn,2900.68
2025-10-23,expense,Marketing & Advertising,Exp txn,298.93
2025-06-15,expense,Marketing & Advertising,Exp txn,1886.73
2025-04-12,revenue,Service Revenue,Rev txn,993.35
2025-05-07,revenue,Service Revenue,Rev txn,4812.48
2025-04-11,revenue,Online / Digital Sales,Rev txn,2542.05
2025-04-12,revenue,Subscription Income,Rev txn,3755.95
2025-07-14,expense,Cost of Goods Sold (COGS),Exp txn,142.33
2025-01-04,expense,Software & Subscriptions,Exp txn,1464.87
2025-09-12,revenue,Product Sales,Rev txn,4648.39
2025-09-19,revenue,Consulting / Retainers,Rev txn,4890.74
2025-07-19,expense,Cost of Goods Sold (COGS),Exp txn,670.76
2025-06-04,revenue,Product Sales,Rev txn,2606.7
2025-11-22,revenue,Other Revenue,Rev txn,1922.87
2025-08-16,revenue,Product Sales,Rev txn,1294.14
2025-09-04,revenue,Other Revenue,Rev txn,4812.72
2025-09-26,revenue,Service Revenue,Rev txn,830.61
2025-09-26,revenue,Subscription Income,Rev txn,635.73
2025-11-20,expense,Marketing & Advertising,Exp txn,945.45
2025-12-14,revenue,Online / Digital Sales,Rev txn,1488.42
2025-10-22,revenue,Consulting / Retainers,Rev txn,3776.84
2025-05-26,expense,Salaries & Wages,Exp txn,459.52
2025-11-27,revenue,Service Revenue,Rev txn,769.65
2025-11-24,expense,Salaries & Wages,Exp txn,423.75
2025-10-19,expense,Cost of Goods Sold (COGS),Exp txn,481.29
2025-10-15,revenue,Online / Digital Sales,Rev txn,3083.25
