date,type,category,description,amount
2025-11-20,revenue,Other Revenue,Rev txn,1720.63
2025-01-15,expense,Other Expense,Exp txn,122294.45
2025-03-22,revenue,Subscription Income,Rev txn,1212.6
2025-09-25,revenue,Subscription Income,Rev txn,2171.63
2025-03-12,revenue,Other Revenue,Rev txn,1340.79
2025-05-10,revenue,Other Revenue,Rev txn,4182.81
2025-12-11,expense,Marketing & Advertising,Exp txn,652.09
2025-08-07,revenue,Consulting / Retainers,Rev txn,622.45
2025-08-20,revenue,Service Revenue,Rev txn,3003.03
2025-07-25,revenue,Online / Digital Sales,Rev txn,4111.66
2025-05-25,revenue,Other Revenue,Rev txn,154.12
2025-08-15,revenue,Consulting / Retainers,Rev txn,339.49
2025-09-27,revenue,Online / Digital Sales,Rev txn,2084.96
2025-03-18,expense,Rent / Office Space,Exp txn,156.76
2025-02-02,revenue,Product Sales,Rev txn,1244.71
2025-12-10,revenue,Product Sales,Rev txn,2184.92
2025-09-08,revenue,Subscription Income,Rev txn,849.83
2025-12-30,revenue,Other Revenue,Rev txn,4084.28
2025-04-13,revenue,Service Revenue,Rev txn,96.11
2025-11-11,revenue,Other Revenue,Rev txn,3753.27
2025-07-30,revenue,Consulting / Retainers,Rev txn,4746.93
2025-12-05,revenue,Product Sales,Rev txn,854.38
2025-08-13,revenue,Product Sales,Rev txn,4312.46
2025-03-23,revenue,Consulting / Retainers,Rev txn,4340.91
2025-08-03,revenue,Other Revenue,Rev txn,2607.3
2025-11-16,revenue,Service Revenue,Rev txn,1031.73
2025-03-18,revenue,Consulting / Retainers,Rev txn,3757.67
2025-11-11,revenue,Consulting / Retainers,Rev txn,135.35
2025-10-25,expense,Other Expense,Exp txn,832.47
2025-10-16,expense,Salaries & Wages,Exp txn,684.78
2025-05-28,revenue,Service Revenue,Rev txn,3000.97
2025-04-15,expense,Rent / Office Space,Exp txn,100.47
2025-11-27,revenue,Service Revenue,Rev txn,4539.3
2025-04-05,revenue,Product Sales,Rev txn,4339.09
2025-06-04,expense,Rent / Office Space,Exp txn,47.69
2025-10-26,revenue,Service Revenue,Rev txn,1461.98
2025-01-29,revenue,Consulting / Retainers,Rev txn,1528.13
2025-12-06,revenue,Service Revenue,Rev txn,4762.0
2025-05-04,expense,Salaries & Wages,Exp txn,1692.59
2025-10-02,revenue,Product Sales,Rev txn,4920.07
2025-04-25,revenue,Product Sales,Rev txn,1664.61
2025-10-20,expense,Marketing & Advertising,Exp txn,1364.65
2025-02-16,expense,Marketing & Advertising,Exp txn,1604.18
2025-10-15,revenue,Subscription Income,Rev txn,1926.77
2025-06-08,revenue,Online / Digital Sales,Rev txn,4463.63
2025-08-22,expense,Marketing & Advertising,Exp txn,1219.07
2025-09-05,revenue,Product Sales,Rev txn,4600.97
2025-02-24,expense,Cost of Goods Sold (COGS),Exp txn,1342.97
2025-09-25,revenue,Online / Digital Sales,Rev txn,2338.19
2025-04-26,revenue,Online / Digital Sales,Rev txn,3341.4
2025-04-13,revenue,Subscription Income,Rev txn,112.63
2025-09-21,revenue,Product Sales,Rev txn,4616.05
2025-01-19,revenue,Subscription Income,Rev txn,2340.01
2025-10-16,revenue,Subscription Income,Rev txn,358.22
2025-04-26,revenue,Other Revenue,Rev txn,2938.49
2025-07-11,revenue,Service Revenue,Rev txn,4137.39
2025-10-28,expense,Other Expense,Exp txn,1882.4
2025-10-18,expense,Software & Subscriptions,Exp txn,1878.51
2025-07-31,expense,Software & Subscriptions,Exp txn,1243.27
2025-08-17,expense,Marketing & Advertising,Exp txn,139.23
2025-02-05,revenue,Service Revenue,Rev txn,4378.71
2025-10-10,expense,Rent / Office Space,Exp txn,1883.8
2025-12-07,revenue,Other Revenue,Rev txn,1254.36
2025-06-09,revenue,Subscription Income,Rev txn,2686.9
2025-04-06,expense,Other Expense,Exp txn,1481.25
2025-06-02,revenue,Subscription Income,Rev txn,4630.69
2025-06-29,revenue,Other Revenue,Rev txn,4470.48
2025-08-14,revenue,Product Sales,Rev txn,4409.25
2025-06-04,revenue,Online / Digital Sales,Rev txn,1037.89
2025-11-26,revenue,Product Sales,Rev txn,4596.34
2025-05-20,revenue,Service Revenue,Rev txn,544.91
2025-02-03,revenue,Service Revenue,Rev txn,393.63
2025-09-09,revenue,Other Revenue,Rev txn,1153.47
2025-04-18,expense,Software & Subscriptions,Exp txn,704.12
2025-06-10,expense,Software & Subscriptions,Exp txn,1286.49
2025-08-14,revenue,Consulting / Retainers,Rev txn,4283.82
2025-08-24,expense,Rent / Office Space,Exp txn,1707.12
2025-10-15,revenue,Consulting / Retainers,Rev txn,4454.08
2025-05-08,revenue,Product Sales,Rev txn,403.44
2025-05-05,expense,Marketing & Advertising,Exp txn,359.82
2025-06-01,revenue,Consulting / Retainers,Rev txn,4648.64
2025-06-19,revenue,Product Sales,Rev txn,3311.96
2025-01-31,revenue,Subscription Income,Rev txn,1655.2
2025-10-22,revenue,Consulting / Retainers,Rev txn,2563.75
2025-12-23,revenue,Subscription Income,Rev txn,268.23
2025-08-12,revenue,Other Revenue,Rev txn,66.06
2025-03-19,expense,Cost of Goods Sold (COGS),Exp txn,645.04
2025-05-01,revenue,Subscription Income,Rev txn,4545.39
2025-02-23,revenue,Service Revenue,Rev txn,2563.02
2025-02-07,expense,Cost of Goods Sold (COGS),Exp txn,1138.82
2025-06-14,expense,Marketing & Advertising,Exp txn,715.03
2025-06-23,revenue,Consulting / Retainers,Rev txn,3939.51
2025-04-24,revenue,Online / Digital Sales,Rev txn,3098.77
2025-03-16,revenue,Consulting / Retainers,Rev txn,1946.02
2025-02-07,expense,Software & Subscriptions,Exp txn,1909.67
2025-08-17,revenue,Subscription Income,Rev txn,3553.81
2025-02-21,revenue,Service Revenue,Rev txn,2324.15
2025-12-11,revenue,Consulting / Retainers,Rev txn,3355.92
2025-03-15,revenue,Online / Digital Sales,Rev txn,318.15
2025-06-21,expense,Software & Subscriptions,Exp txn,354.63
2025-07-27,expense,Software & Subscriptions,Exp txn,1035.61
2025-12-11,expense,Other Expense,Exp txn,1088.92
2025-06-04,revenue,Product Sales,Rev txn,4406.53
2025-10-23,expense,Marketing & Advertising,Exp txn,409.95
2025-12-13,revenue,Other Revenue,Rev txn,1259.21
2025-01-22,revenue,Online / Digital Sales,Rev txn,2679.1
2025-12-03,revenue,Other Revenue,Rev txn,3727.26
2025-02-25,expense,Salaries & Wages,Exp txn,412.12
2025-05-04,expense,Salaries & Wages,Exp txn,905.45
2025-09-30,expense,Marketing & Advertising,Exp txn,504.06
2025-06-03,expense,Cost of Goods Sold (COGS),Exp txn,1449.0
2025-05-04,revenue,Other Revenue,Rev txn,1611.96
2025-04-26,revenue,Service Revenue,Rev txn,3605.87
2025-12-17,expense,Cost of Goods Sold (COGS),Exp txn,994.84
2025-05-06,expense,Software & Subscriptions,Exp txn,971.06
2025-10-13,expense,Marketing & Advertising,Exp txn,1107.78
2025-07-31,expense,Software & Subscriptions,Exp txn,1562.72
2025-10-17,revenue,Other Revenue,Rev txn,4517.09
2025-07-04,revenue,Service Revenue,Rev txn,4615.36
2025-06-23,revenue,Product Sales,Rev txn,705.66
2025-02-11,revenue,Subscription Income,Rev txn,307.82
2025-03-16,revenue,Service Revenue,Rev txn,2432.72
2025-04-30,revenue,Online / Digital Sales,Rev txn,4396.73
2025-07-22,revenue,Consulting / Retainers,Rev txn,386.41
2025-07-27,expense,Other Expense,Exp txn,1873.85
2025-09-20,expense,Software & Subscriptions,Exp txn,1567.98
2025-09-01,expense,Cost of Goods Sold (COGS),Exp txn,1695.87
2025-05-25,revenue,Online / Digital Sales,Rev txn,3324.53
2025-10-11,revenue,Service Revenue,Rev txn,3351.32
2025-03-11,revenue,Online / Digital Sales,Rev txn,301.45
2025-01-11,revenue,Product Sales,Rev txn,4862.37
2025-05-28,revenue,Other Revenue,Rev txn,4216.26
2025-01-28,revenue,Service Revenue,Rev txn,2468.6
2025-12-25,revenue,Consulting / Retainers,Rev txn,4264.15
2025-08-19,expense,Rent / Office Space,Exp txn,120.27
2025-03-19,revenue,Online / Digital Sales,Rev txn,2391.22
2025-12-14,revenue,Subscription Income,Rev txn,253.29
2025-07-27,expense,Software & Subscriptions,Exp txn,946.47
2025-02-01,revenue,Online / Digital Sales,Rev txn,1877.62
2025-02-23,revenue,Subscription Income,Rev txn,4756.84
2025-11-11,revenue,Subscription Income,Rev txn,4494.17
2025-01-10,revenue,Online / Digital Sales,Rev txn,2816.68
2025-09-15,revenue,Service Revenue,Rev txn,1943.58
2025-10-09,expense,Software & Subscriptions,Exp txn,169.34
2025-10-14,expense,Salaries & Wages,Exp txn,304.07
2025-09-30,revenue,Other Revenue,Rev txn,2809.16
2025-08-04,expense,Rent / Office Space,Exp txn,826.65
2025-03-11,expense,Rent / Office Space,Exp txn,691.23
2025-05-14,expense,Marketing & Advertising,Exp txn,839.01
2025-08-21,revenue,Product Sales,Rev txn,757.21
2025-04-03,revenue,Subscription Income,Rev txn,832.88
2025-12-31,revenue,Subscription Income,Rev txn,4463.3
2025-09-20,revenue,Service Revenue,Rev txn,2632.65
2025-08-21,revenue,Consulting / Retainers,Rev txn,4045.14
2025-10-13,revenue,Online / Digital Sales,Rev txn,3193.14
2025-11-28,expense,Cost of Goods Sold (COGS),Exp txn,358.38
2025-09-20,revenue,Subscription Income,Rev txn,838.03
2025-01-08,revenue,Subscription Income,Rev txn,672.51
2025-12-17,revenue,Subscription Income,Rev txn,2394.13
2025-12-24,revenue,Service Revenue,Rev txn,1001.83
2025-01-19,revenue,Online / Digital Sales,Rev txn,1034.61
2025-08-22,expense,Salaries & Wages,Exp txn,649.12
2025-08-22,revenue,Consulting / Retainers,Rev txn,298.2
2025-06-08,revenue,Service Revenue,Rev txn,1876.03
2025-12-06,revenue,Online / Digital Sales,Rev txn,4788.56
2025-10-03,expense,Other Expense,Exp txn,1325.23
2025-01-13,revenue,Subscription Income,Rev txn,1359.11
2025-05-12,expense,Software & Subscriptions,Exp txn,601.89
2025-12-03,revenue,Online / Digital Sales,Rev txn,2236.84
2025-04-19,expense,Other Expense,Exp txn,397.36
2025-12-14,expense,Marketing & Advertising,Exp txn,20.31
2025-10-11,revenue,Product Sales,Rev txn,1842.83
2025-12-18,revenue,Online / Digital Sales,Rev txn,269.71
2025-03-12,revenue,Consulting / Retainers,Rev txn,2129.29
2025-02-01,revenue,Online / Digital Sales,Rev txn,4601.73
2025-02-28,expense,Marketing & Advertising,Exp txn,1946.09
2025-12-11,expense,Rent / Office Space,Exp txn,286.36
2025-11-24,revenue,Online / Digital Sales,Rev txn,351.74
2025-02-08,expense,Other Expense,Exp txn,1722.95
2025-12-29,revenue,Online / Digital Sales,Rev txn,3331.85
2025-08-01,expense,Cost of Goods Sold (COGS),Exp txn,1758.02
2025-06-04,expense,Marketing & Advertising,Exp txn,257.71
2025-02-04,revenue,Product Sales,Rev txn,2208.48
2025-11-03,expense,Software & Subscriptions,Exp txn,1611.19
2025-09-09,expense,Software & Subscriptions,Exp txn,129.23
2025-08-14,revenue,Product Sales,Rev txn,1803.77
2025-02-09,expense,Marketing & Advertising,Exp txn,94.29
2025-01-05,expense,Rent / Office Space,Exp txn,98.23
2025-12-11,revenue,Consulting / Retainers,Rev txn,4429.7
2025-09-29,revenue,Subscription Income,Rev txn,2836.82
2025-03-29,revenue,Subscription Income,Rev txn,2257.27
2025-11-29,revenue,Consulting / Retainers,Rev txn,1430.69
2025-09-15,expense,Rent / Office Space,Exp txn,1589.46
2025-11-08,revenue,Service Revenue,Rev txn,4089.32
2025-04-03,revenue,Service Revenue,Rev txn,864.95
2025-12-27,expense,Rent / Office Space,Exp txn,1849.38
2025-03-26,expense,Rent / Office Space,Exp txn,1960.25
2025-10-28,revenue,Consulting / Retainers,Rev txn,3691.9
2025-10-13,expense,Marketing & Advertising,Exp txn,1283.19
2025-12-20,expense,Cost of Goods Sold (COGS),Exp txn,1043.36
2025-11-04,revenue,Consulting / Retainers,Rev txn,3333.77
2025-01-18,revenue,Subscription Income,Rev txn,697.85
2025-01-30,expense,Marketing & Advertising,Exp txn,1757.14
2025-11-24,expense,Rent / Office Space,Exp txn,1604.28
2025-12-07,revenue,Online / Digital Sales,Rev txn,4607.82
2025-12-07,revenue,Consulting / Retainers,Rev txn,4502.55
2025-02-28,revenue,Product Sales,Rev txn,2294.38
2025-12-27,expense,Salaries & Wages,Exp txn,1010.12
2025-03-15,expense,Other Expense,Exp txn,62.31
2025-06-18,revenue,Service Revenue,Rev txn,3125.61
2025-01-27,revenue,Other Revenue,Rev txn,2476.5
2025-10-04,revenue,Consulting / Retainers,Rev txn,3124.74
2025-05-05,expense,Rent / Office Space,Exp txn,1932.87
2025-01-22,expense,Salaries & Wages,Exp txn,1144.86
2025-06-27,expense,Cost of Goods Sold (COGS),Exp txn,100.15
2025-02-11,revenue,Consulting / Retainers,Rev txn,4042.49
2025-10-24,revenue,Other Revenue,Rev txn,2962.78
2025-03-06,revenue,Other Revenue,Rev txn,3922.81
2025-01-09,revenue,Service Revenue,Rev txn,937.84
2025-07-23,revenue,Other Revenue,Rev txn,2349.98
2025-04-24,expense,Other Expense,Exp txn,1305.75
2025-02-09,revenue,Consulting / Retainers,Rev txn,1620.62
2025-06-18,revenue,Product Sales,Rev txn,1427.37
2025-06-13,expense,Other Expense,Exp txn,1540.64
2025-11-15,revenue,Online / Digital Sales,Rev txn,995.73
2025-07-28,revenue,Product Sales,Rev txn,3315.77
2025-04-19,revenue,Service Revenue,Rev txn,4433.05
2025-06-01,revenue,Service Revenue,Rev txn,667.89
2025-10-19,revenue,Consulting / Retainers,Rev txn,3791.12
2025-06-15,revenue,Subscription Income,Rev txn,1294.5
2025-12-18,revenue,Service Revenue,Rev txn,741.17
2025-12-12,revenue,Online / Digital Sales,Rev txn,1460.69
2025-12-03,revenue,Subscription Income,Rev txn,2378.02
2025-10-23,revenue,Subscription Income,Rev txn,4505.23
2025-11-21,expense,Salaries & Wages,Exp txn,743.03
2025-09-28,expense,Salaries & Wages,Exp txn,527.98
2025-01-04,revenue,Service Revenue,Rev txn,3052.97
2025-11-23,expense,Other Expense,Exp txn,202.66
2025-02-22,revenue,Product Sales,Rev txn,3323.25
2025-02-12,expense,Software & Subscriptions,Exp txn,1457.74
2025-08-20,revenue,Product Sales,Rev txn,4186.86
2025-06-01,revenue,Product Sales,Rev txn,860.64
2025-10-28,revenue,Subscription Income,Rev txn,3698.34
2025-01-28,revenue,Service Revenue,Rev txn,3367.37
2025-12-10,revenue,Other Revenue,Rev txn,4155.27
2025-11-24,expense,Other Expense,Exp txn,1852.82
2025-03-31,revenue,Product Sales,Rev txn,60.67
2025-06-22,expense,Rent / Office Space,Exp txn,97.17
2025-02-07,expense,Salaries & Wages,Exp txn,698.59
2025-10-28,revenue,Product Sales,Rev txn,617.03
2025-09-17,revenue,Subscription Income,Rev txn,1589.64
2025-12-30,revenue,Service Revenue,Rev txn,4891.02
2025-05-10,revenue,Online / Digital Sales,Rev txn,1931.62
2025-02-27,expense,Cost of Goods Sold (COGS),Exp txn,1741.37
2025-08-11,expense,Other Expense,Exp txn,1530.07
2025-11-28,expense,Marketing & Advertising,Exp txn,1395.38
2025-12-09,expense,Cost of Goods Sold (COGS),Exp txn,514.09
2025-07-12,expense,Cost of Goods Sold (COGS),Exp txn,235.76
2025-07-23,expense,Cost of Goods Sold (COGS),Exp txn,793.87
2025-12-19,revenue,Subscription Income,Rev txn,3603.68
2025-09-17,revenue,Product Sales,Rev txn,1980.43
2025-06-19,expense,Salaries & Wages,Exp txn,135.57
2025-11-12,revenue,Product Sales,Rev txn,2496.82
2025-05-05,expense,Rent / Office Space,Exp txn,500.57
2025-11-07,revenue,Online / Digital Sales,Rev txn,4920.48
2025-08-13,revenue,Other Revenue,Rev txn,2858.42
2025-07-19,revenue,Online / Digital Sales,Rev txn,2774.42
2025-04-15,expense,Rent / Office Space,Exp txn,870.91
2025-04-01,expense,Software & Subscriptions,Exp txn,1290.19
2025-11-20,revenue,Subscription Income,Rev txn,1239.6
2025-02-11,revenue,Consulting / Retainers,Rev txn,590.88
2025-11-03,revenue,Product Sales,Rev txn,2300.76
2025-07-14,expense,Other Expense,Exp txn,1633.34
2025-04-22,expense,Marketing & Advertising,Exp txn,938.28
2025-07-04,expense,Rent / Office Space,Exp txn,1841.84
2025-07-14,expense,Marketing & Advertising,Exp txn,1913.73
2025-08-27,expense,Rent / Office Space,Exp txn,1947.71
2025-01-31,expense,Marketing & Advertising,Exp txn,503.36
2025-06-20,revenue,Service Revenue,Rev txn,1035457.14
2025-01-27,revenue,Service Revenue,Rev txn,4043.54
2025-01-04,revenue,Online / Digital Sales,Rev txn,4030.34
2025-10-17,revenue,Other Revenue,Rev txn,1977.91
2025-09-10,expense,Salaries & Wages,Exp txn,634.25
2025-07-04,expense,Other Expense,Exp txn,890.33
2025-10-22,expense,Rent / Office Space,Exp txn,251.51
2025-08-13,revenue,Subscription Income,Rev txn,465.54
2025-01-09,expense,Cost of Goods Sold (COGS),Exp txn,1234.6
2025-10-22,revenue,Online / Digital Sales,Rev txn,3788.49
2025-02-22,expense,Cost of Goods Sold (COGS),Exp txn,1554.56
2025-08-18,revenue,Service Revenue,Rev txn,3437.08
2025-03-15,expense,Software & Subscriptions,Exp txn,695.58
2025-09-14,revenue,Service Revenue,Rev txn,4210.5
2025-05-12,revenue,Service Revenue,Rev txn,2463.37
2025-07-26,revenue,Consulting / Retainers,Rev txn,3418.38
2025-07-11,revenue,Service Revenue,Rev txn,990.89
2025-12-27,expense,Rent / Office Space,Exp txn,709.58
2025-07-20,expense,Software & Subscriptions,Exp txn,1543.82
2025-03-10,expense,Software & Subscriptions,Exp txn,372.11
2025-02-02,revenue,Online / Digital Sales,Rev txn,3688.53
2025-02-20,revenue,Service Revenue,Rev txn,3853.15
2025-02-23,expense,Rent / Office Space,Exp txn,1870.71
2025-09-16,revenue,Subscription Income,Rev txn,186.62
2025-09-10,revenue,Online / Digital Sales,Rev txn,1954.6
2025-03-01,revenue,Product Sales,Rev txn,1293.05
2025-01-17,revenue,Service Revenue,Rev txn,2521.19
2025-10-29,revenue,Consulting / Retainers,Rev txn,2090.86
2025-10-10,revenue,Product Sales,Rev txn,377.63
2025-08-25,expense,Other Expense,Exp txn,640.91
2025-01-17,expense,Rent / Office Space,Exp txn,1528.54
2025-07-23,expense,Salaries & Wages,Exp txn,345.59
2025-06-29,revenue,Subscription Income,Rev txn,3501.18
2025-06-13,expense,Cost of Goods Sold (COGS),Exp txn,1074.95
2025-12-02,revenue,Product Sales,Rev txn,4900.0
2025-12-13,revenue,Other Revenue,Rev txn,1252.1
2025-07-25,revenue,Online / Digital Sales,Rev txn,4178.85
2025-07-18,revenue,Consulting / Retainers,Rev txn,2296.04
2025-07-15,expense,Marketing & Advertising,Exp txn,1056.13
2025-11-26,revenue,Subscription Income,Rev txn,911.44
2025-05-07,expense,Other Expense,Exp txn,1746.91
2025-02-12,revenue,Service Revenue,Rev txn,807.31
2025-11-28,revenue,Product Sales,Rev txn,819.47
2025-01-17,expense,Cost of Goods Sold (COGS),Exp txn,1311.98
2025-08-30,revenue,Service Revenue,Rev txn,3464.84
2025-08-16,revenue,Online / Digital Sales,Rev txn,603.78
2025-02-04,expense,Other Expense,Exp txn,1127.69
2025-02-04,expense,Cost of Goods Sold (COGS),Exp txn,645.98
2025-05-16,revenue,Consulting / Retainers,Rev txn,350.03
2025-09-27,revenue,Product Sales,Rev txn,2914.49
2025-05-25,expense,Software & Subscriptions,Exp txn,316.85
2025-11-21,revenue,Product Sales,Rev txn,3582.05
2025-12-13,revenue,Subscription Income,Rev txn,989.99
2025-02-18,revenue,Consulting / Retainers,Rev txn,4921.97
2025-08-15,revenue,Other Revenue,Rev txn,779.4
2025-10-06,expense,Cost of Goods Sold (COGS),Exp txn,699.26
2025-09-05,expense,Cost of Goods Sold (COGS),Exp txn,1552.19
2025-02-13,revenue,Subscription Income,Rev txn,2693.91
2025-07-17,revenue,Product Sales,Rev txn,2982.75
2025-03-20,expense,Other Expense,Exp txn,1960.52
2025-05-31,revenue,Online / Digital Sales,Rev txn,1689.19
2025-11-30,expense,Marketing & Advertising,Exp txn,1825.13
2025-05-22,revenue,Service Revenue,Rev txn,2785.0
2025-05-30,expense,Other Expense,Exp txn,1868.06
2025-03-20,revenue,Service Revenue,Rev txn,1907.77
2025-01-26,revenue,Subscription Income,Rev txn,4710.9
2025-10-29,revenue,Subscription Income,Rev txn,1359.38
2025-08-29,expense,Rent / Office Space,Exp txn,66.46
2025-09-18,revenue,Other Revenue,Rev txn,1898.43
2025-05-10,revenue,Other Revenue,Rev txn,1567.78
2025-08-06,revenue,Online / Digital Sales,Rev txn,278.76
2025-02-16,revenue,Other Revenue,Rev txn,257.05
2025-03-13,expense,Other Expense,Exp txn,1023.15
2025-09-23,revenue,Consulting / Retainers,Rev txn,603.75
2025-04-13,expense,Marketing & Advertising,Exp txn,602.25
2025-02-14,expense,Software & Subscriptions,Exp txn,1090.63
2025-11-22,revenue,Online / Digital Sales,Rev txn,1444.69
2025-05-08,expense,Cost of Goods Sold (COGS),Exp txn,720.38
2025-02-22,revenue,Consulting / Retainers,Rev txn,4904.57
2025-10-13,revenue,Consulting / Retainers,Rev txn,2219.01
2025-04-08,revenue,Subscription Income,Rev txn,3374.85
2025-11-08,revenue,Service Revenue,Rev txn,1429.09
